Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_D0-1	CPM_D0-2	CPM_D0-3	CPM_D0-4	CPM_D0-5	CPM_D0-6	CPM_D0-7	CPM_D1-1	CPM_D1-2	CPM_D1-3	CPM_D1-4	CPM_D1-5	CPM_D1-6	CPM_D1-7	CPM_D1-8	CPM_D2-1	CPM_D2-2	CPM_D2-3	CPM_D2-4	CPM_D2-5	CPM_D2-6	CPM_D2-7	CPM_D2-8	CPM_D2-9	CPM_D3-1	CPM_D3-2	CPM_D3-3	CPM_D3-4	CPM_D3-5	CPM_D3-6	CPM_D3-7	CPM_D3-8	CPM_D3-9	CPM_D7-1	CPM_D7-2	CPM_D7-3	CPM_D7-4	CPM_D7-5	CPM_D7-6	CPM_D7-7	CPM_D7-8
ENSMUSG00000031167.17	Rbm3	1.1507167802496865	7.444008200035566	116.94308119118011	1.6290480071105338e-13	2.6112787515639927e-9	114.3844755567505	93.08426444135586	111.54087021066782	81.35634234321925	94.9959129613275	86.06594759315806	102.53134810487745	160.30797109958465	200.50408350914077	219.6605143903519	177.80119953393574	163.87975013231608	172.29457012606213	156.7729466813202	202.50543215859742	190.34220473234308	216.23954926211752	197.07963251956792	155.71703899678732	156.3739667119983	247.43562878193455	162.42655607275358	172.74175506933335	222.1745787240495	216.8119837529248	211.10516103481365	150.72543421837767	140.45318323066448	153.76231586561283	172.35223909608567	184.56071263766495	144.06788101670583	169.50301059180475	213.87127223929087	207.2367112406021	177.25729840939246	256.13867301526324	220.90651012446563	244.27854921916634	216.51214159889855	199.3413947145206
ENSMUSG00000041920.15	Slc16a6	-1.6691815643402488	2.3395198434180045	112.66956560256698	2.857916987593294e-13	2.6112787515639927e-9	10.501081112785318	12.422737793841746	8.312741822779081	12.13461383238099	9.19229832615188	12.433733751963208	6.23134482488522	4.209296187597886	2.743410055832653	3.625057588820592	3.72345449480765	3.72268707811761	4.504616075072427	3.0409716017159445	4.648058934485799	4.414919621960133	3.0620387301527923	2.942915478925198	4.096010283677433	5.646714180387769	3.218025549945418	4.726698721693888	4.079525522407654	3.625515647000249	3.425648779601344	5.828869318769084	6.117758480763769	4.863731524657381	6.187391990495102	5.2993934316177125	3.349426100325884	4.587211603971393	3.3610538566349986	3.16557729603869	3.887047443258932	2.9945272669731593	3.245249254973388	2.695188001294689	3.9201259997850917	2.8574188634260747	2.8134526443726444
ENSMUSG00000045193.14	Cirbp	0.9272469903569378	5.374136701562028	109.21854272635157	4.552613442219075e-13	2.773148601437046e-9	23.96565750893336	19.72684751522092	25.16063996526779	25.165716285623905	24.84834533121171	23.080277847586736	25.039715901832352	41.85648456206886	48.91108213827359	50.36133724634227	47.15542705840292	56.62832022479634	42.33219951294771	46.10330160458637	48.87958750459259	50.885362240736384	48.36937286126313	49.0007390312098	41.53217131214827	43.55083889519543	57.94794913660837	37.70616480260351	45.66976520726108	47.777343183756706	55.004743524946406	44.128662165832615	37.983885072873946	32.726704141976526	33.86190889343683	32.81632752633563	40.09531974112737	45.25885245629529	41.78296403967481	43.39275955031496	45.93783342033284	47.53812036319891	45.669507697261864	48.3897515461808	40.63712010242336	46.37039383630034	44.98765944089983
ENSMUSG00000037818.18	Abhd18	-1.4871682530787131	3.6061119999436633	95.77817056184692	3.1150146115200203e-12	1.4230944252729213e-8	24.319988466726734	18.950426403105812	18.32139418465356	30.256490954089806	24.080112906259536	28.33972169338637	16.86464883799211	8.986137928579755	8.70052903421213	6.620972951482238	8.196597814073215	11.22240703111367	11.41542458776118	11.159279717011188	11.035391534779187	14.769499147691375	17.369617929450794	10.264314963080567	14.69071844760286	9.98179002753586	8.338679344749076	12.289416676404107	12.175814636109001	7.151702098192271	8.576269639711166	8.154529299490083	12.930207484984228	11.383201440687488	10.66481383088974	8.957970486918644	8.336892702270996	9.395198097973493	8.034299972367222	8.814915239738506	8.372102185480777	8.178802597920441	7.788598211936131	7.34376914114241	10.62080648778984	7.9205645687950845	6.59230570593198
ENSMUSG00000031799.11	Tpm4	-0.6861236455260625	4.641747377084713	89.1840572746769	8.59546595736135e-12	3.141470898096426e-8	33.62922908511617	35.14024440758012	32.63932742455733	41.71873832082436	36.79568407788173	37.83735815279153	30.01335810151138	20.57352631016944	20.35348984279654	23.72764967228024	21.99087218409887	22.308949570325236	21.87956379320893	23.078802334451364	21.291108667644625	21.02776149840806	18.426427756671668	18.758095410385	20.61734785247691	25.321289178982948	22.66711427516298	25.54565809133651	21.77839009654548	24.857131251008557	23.930950694378183	23.28603854114316	27.115339786535383	20.541504417967875	29.091992158946063	25.69873216420472	26.3553382200825	21.88124465637691	25.737385011766634	20.722355991760963	21.038984063513382	23.07657575111191	23.808328625122947	23.73743560773304	20.89974152211005	21.706357330938427	20.990563356544925
ENSMUSG00000005103.13	Wdr1	-0.5964125380451761	5.169403945388876	86.85318052042473	1.2460798929884458e-11	3.795143994078476e-8	49.76739361734146	45.895114627248674	42.56457435008286	59.45640603359235	53.06101886824846	54.58587836077482	39.61763269399502	34.59663102503206	32.267727799555495	31.307315539814205	36.38489761369086	34.699791231796986	30.469111215862565	34.07517285851348	29.117840163778776	33.36222765872967	31.026852619689798	30.745092605031537	30.045036326639494	31.368164206799772	29.525971651688984	32.67867616225637	31.443727488095924	31.537019669111753	31.316746644724343	34.35500250001778	32.784910832810965	36.08992274945238	38.74432366411842	41.21996815639049	37.210412589021864	33.484191654657494	38.03055459699327	32.58109555461359	33.0263121927245	31.367673121543845	32.688510677368306	33.70221326389598	34.34668535858217	31.180956720193308	31.83063089809835
ENSMUSG00000019916.15	P4ha1	-0.6578209426801297	4.92005097605699	83.76084652935975	2.0615602600713922e-11	5.0987523370925796e-8	40.23266966217442	46.75780475182101	40.118014883846875	48.79459493548451	37.616898049382336	37.913951995206084	49.05040238304146	28.400925400590225	27.87827171022325	31.517029615200517	26.089171091135476	22.743715944411967	26.663969686608837	26.907168368754473	25.939167602130425	28.014258013571776	25.09245897452642	23.327988552455835	28.008472554308256	27.23316878336621	24.24089319374943	28.446132306921395	27.364201965688267	26.272572291275775	25.461559723561763	25.523382320064627	30.073376854157427	25.922654189929233	33.86190889343683	33.082405857630235	32.80970676377618	27.670452883848828	32.71272281012557	26.61519988130991	30.416825797249967	25.603208132620512	26.58154162482748	28.559102215553814	25.52640185906571	27.59665060203604	26.755382990602598
ENSMUSG00000110344.2	Smim36	1.3392539096966316	2.159935949965746	83.19430113240243	2.263879130652612e-11	5.0987523370925796e-8	2.8668595676008994	2.386776011316817	3.141604769143934	1.7609597909787718	2.1987341817596717	2.4254716764609956	3.1442565630154777	3.2397392005669117	3.3704752114515455	4.044485739593222	3.698464867325719	4.130280553823917	4.252805238577695	4.344245145308491	4.018321917555465	4.7107647512667405	3.2788202331724587	4.474188573650504	3.684120981408194	4.5573874290531204	6.389072624709152	3.2227491284276506	4.37241453427282	6.009416346397673	6.584048363630952	4.0919840167116295	4.616330575228338	3.0527676590934627	3.7799340160115533	3.7694430266736867	4.791879676378636	4.317375627267193	4.373974196990751	5.624987349114903	6.741173188309197	5.614738625574674	8.79167525438245	6.305256333304089	5.9941461508341805	7.168612236314539	5.682071026870243
ENSMUSG00000017707.10	Serinc3	0.672186840635008	8.397219247558846	82.57002848548545	2.5111508719400907e-11	5.0987523370925796e-8	227.12614394554993	253.8321909866692	236.87143923102934	219.31953760371977	218.7078241519018	235.47500286315537	237.67721201339725	336.69639954504885	378.69509856417596	427.00781664016444	394.63619719464697	415.310578846347	323.24117711373754	387.01793938267025	383.7197556495502	345.20575126553234	411.369999667695	357.9350858920403	337.222924863432	316.10483831076255	358.2343624979385	361.69987718052994	356.8852609577035	348.7448064826815	341.25292736369136	337.19125847061156	306.89634576578686	374.0157800636796	300.27975820053683	302.9301801789171	345.4065105503948	320.7368541279463	356.61702255570384	326.4684215999286	318.16706519822236	366.1932531599802	378.4255653958514	377.8950295760251	376.12697310728703	322.5123554009062	500.90490217458057
ENSMUSG00000037514.19	Pank2	0.4426453002529871	4.916643241106656	67.95781609545422	3.35557150344867e-10	6.1319713654021e-7	25.833948013662038	26.7146375242569	25.688874395477832	23.084581987194447	24.450983732098518	25.88871873612052	26.7833490867773	27.88067530998824	27.852143995405793	30.019071933869697	27.413621347677797	25.67838896949738	27.75514997808601	26.988622965229006	30.857113829586368	28.310103142878383	28.940330653125503	32.58740554712292	28.946664853921522	29.389591127845	35.72713037567139	30.916906638715925	28.891408956128057	31.462522772255586	33.04171872523282	35.09097084834721	28.8184520375905	28.71671272537071	30.82446191628469	31.663321424058967	34.05657341426245	28.749796790665627	29.973233707799782	32.09408366291533	35.60861643824616	32.39704186956587	35.1076964856212	34.64182009003541	36.944908404951356	33.737594650627166	36.685215853094284
