Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Mel_1	CPM_Mel_2	CPM_Mel_3	CPM_Mel_4	CPM_Mel_5	CPM_Mel_6	CPM_Mel_7	CPM_Mel_8	CPM_Mel_9	CPM_Mel_10
ENSMUSG00000025328.10	Padi3	-4.767433818616202	0.7825042518800004	29.829462089926377	4.924063498550167e-5	0.2992523438313259	21.30430106138624	0.275458193654777	0.2404790943825386	1.5573150427405364	0.30324229829555377	0.09131855570580372	0.12094933600103898	0.16027048807786787	0.05865425549345871	0.16396666141757582	0.19341185804606092	0.25422303098848503	0.25486391368447503	0.3166142928091046	0.13063258790700474
ENSMUSG00000123583.1	Gm42266	2.0134328017472995	-2.4579917865655814	28.761903825816447	5.991055469584087e-5	0.2992523438313259	0.03270038535899653	0.04590969894246283	0.04809581887650771	0.025117984560331232	0.09229113426386418	0.3500544635389143	0.31749200700272734	0.1748405324485831	0.18769361757906786	0.17763054986904048	0.15472948643684875	0.1089527275664936	0.152918348210685	0.2814349269414263	0.13063258790700474
ENSMUSG00000052316.10	Lrrc15	-5.036017528854663	0.1007137149152897	28.424127507555813	6.381066037010928e-5	0.2992523438313259	13.09650433627811	0.1530323298082094	0.12825551700402057	1.205663258895899	0.21095116403168956	0.01521975928430062	0.030237334000259745	0.04371013311214578	0.046923404394766964	0.08198333070878791	0.05802355741381828	0.1634290913497404	0.23787298610551	0.19348651227223057	0.032658146976751186
ENSMUSG00000139182.1	Gm67878	-4.105127014961549	-0.26225539796127634	28.24556257156241	6.598728640161541e-5	0.2992523438313259	1.0137119461288926	9.12072685656928	0.14428745662952314	0.26373883788347796	0.25050450728763135	0.04565927785290186	0.09071200200077924	0.1457004437071526	0.046923404394766964	0.09564721916025255	0.21275304385066704	0.12711151549424252	0.10194556547379	0.19348651227223057	0.19594888186050713
ENSMUSG00000032262.14	Elovl4	-5.012157824930998	1.0219185088099432	24.302671128489603	1.4377966567082946e-4	0.3959644621001897	26.748915223659164	0.1530323298082094	0.112223577378518	1.243340235736396	0.10547558201584478	0.33483470425461365	0.3326106740028572	0.16027048807786787	0.10557765988822566	0.17763054986904048	0.13538830063224266	0.09079393963874466	0.220882058526545	0.10553809760303487	0.06531629395350237
ENSMUSG00000040705.4	A930016O22Rik	-3.9303642614030725	3.4040243720798093	24.07304366388091	1.5081611493204228e-4	0.3959644621001897	8.01159441295415	126.69546584821657	1.907800815434806	1.8587308574645112	1.5030270437257882	1.3393388170184546	2.706241393023247	1.9232458569344142	1.54847234502731	2.0905749330740915	2.0308245094836397	1.5434969738586592	1.05343750989583	2.093172269126858	2.008476039070198
ENSMUSG00000047281.4	Sfn	-4.445020188677834	1.998404063507886	23.26316280545644	1.7891203626569892e-4	0.3959644621001897	49.49203324084125	0.3060646596164188	0.3847665510120617	4.018877529652997	0.38234898480743734	1.3697783355870559	0.40820400900350656	0.393391198009312	0.4926957461450531	0.546555538058586	0.36748253028751576	0.4358109102659744	0.322827624000335	0.35179365867678286	0.2775942493023851
ENSMUSG00000039518.8	Cdsn	-4.8783713456206925	1.6137557957313895	23.244136394488038	1.796394691042663e-4	0.3959644621001897	39.551116091706305	0.3060646596164188	0.336670732135554	1.4568431044992114	0.9756491336465642	0.9740645941952397	0.10583066900090911	0.08742026622429155	0.05865425549345871	0.1366388845146465	0.7736474321842437	0.0544763637832468	0.23787298610551	0.24625556107374802	0.2449361023256339
ENSMUSG00000060716.8	Plekhh1	-1.457656452919017	-0.35329328811069227	21.613311839658685	2.563774666269629e-4	0.3959644621001897	1.1935640656033735	0.4744002224054492	1.9558966343113138	1.243340235736396	1.6480559689975747	0.25873590783311057	0.4384413430037663	0.4662414198628883	0.9267372367966475	0.2869416574807577	0.3481413444829097	0.3268581826994808	0.662646175579635	0.5452801709490135	0.4572140576745166
ENSMUSG00000117365.3	Gm29992	1.815510992475225	-2.598293613565153	21.523239947723365	2.6158700612529474e-4	0.3959644621001897	0.03270038535899653	0.0765161649041047	0.032063879251005144	0.03767697684049685	0.065922238759903	0.24351614854880993	0.12094933600103898	0.26226079867287466	0.29327127746729353	0.15030277296611116	0.17407067224145484	0.12711151549424252	0.152918348210685	0.19348651227223057	0.04898722046512678
