Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3	CPM_CS_1	CPM_CS_2	CPM_CS_3	CPM_CS_4	CPM_CS_5
ENSMUSG00000023806.11	Rsph3b	8.698765287266276	3.1318533154884096	244.01627906713202	5.098612082015945e-7	0.005924077378094326	0	0	0	10.890298656598626	12.956417658801172	13.062790792177328	16.197184163017926	11.736910680393336
ENSMUSG00000120362.2	2810449D17Rik	2.163471024268702	1.9166420841880387	28.396536572650888	3.899763736971948e-4	0.41710950149385273	0.8691804209732723	0.9889832871223515	1.0965145194622226	3.439041681031145	3.0485688608943935	5.8056847965232565	4.049296040754482	6.166851374443956
ENSMUSG00000044147.9	Arf6	0.9825614228913375	4.278018966869456	27.8119360190974	4.208570579003493e-4	0.41710950149385273	10.719891858670358	12.85678273259057	11.513402454353336	19.487902859176486	21.594029431335287	23.464642719281496	25.06707072848012	25.86098963476498
ENSMUSG00000021250.14	Fos	-2.0751426097019303	3.5296692321991503	27.645664568805362	4.301756669732481e-4	0.41710950149385273	14.486340349554538	34.6144150492823	15.351203272471116	8.024430589072672	5.080948101490655	3.1447459314500974	3.085177935812938	6.166851374443956
ENSMUSG00000008540.12	Mgst1	1.0826917969969723	3.9164073263640318	24.566018544348736	6.580505486651887e-4	0.41710950149385273	8.981531016723814	9.560171775516064	7.127344376504446	15.189100757887557	17.529270950142763	17.900861455946707	23.138834518597037	16.710177917848142
ENSMUSG00000034641.3	Cd300ld	3.409373276002172	1.5203104456172842	23.02548580057237	8.26471095360259e-4	0.41710950149385273	0	0.659322191414901	0.27412862986555564	2.865868067525954	2.032379240596262	2.660938865073159	5.784708629649259	3.779683100465651
ENSMUSG00000038181.17	Chpf2	1.9641012865694352	2.9659533504567483	20.2018061224707	0.0012943112422947572	0.41710950149385273	3.1869948769019985	1.6483054785372526	2.7412862986555564	5.158562521546717	7.367374747161451	12.095176659423451	16.390007784006233	8.752950337920455
ENSMUSG00000031628.10	Casp3	1.914492861889066	1.838583892556981	19.658794064961747	0.001418153565077917	0.41710950149385273	1.7383608419465446	0.659322191414901	0.8223858895966669	2.5792812607733584	4.826900696416122	3.8704565310155044	4.049296040754482	5.3711286164511876
ENSMUSG00000028961.16	Pgd	1.5503639634410054	4.407926404844112	19.65489874782432	0.0014190926100492416	0.41710950149385273	10.140438244688177	8.241527392686262	9.594502045294448	16.622034791650535	16.259033924770097	31.205555781312505	40.87860764952143	31.629979630212553
ENSMUSG00000062210.15	Tnfaip8	1.7038261466947946	2.3562728571304303	19.31455895652311	0.001504129966637512	0.41710950149385273	2.607541262919817	1.318644382829802	1.6447717791933338	4.871975714794122	6.605232531937852	3.8704565310155044	9.062710186450506	6.166851374443956
ENSMUSG00000060791.16	Gmfg	2.5572387167980177	1.6171216448305274	19.21828616855688	0.0015292972602491508	0.41710950149385273	0.8691804209732723	0.3296610957074505	0.5482572597311113	1.432934033762977	2.5404740507453276	3.8704565310155044	5.013414145696024	4.973267237454804
ENSMUSG00000018042.19	Cyb5r3	0.843458754391342	4.76502523834408	18.811426043538493	0.0016414639238274081	0.41710950149385273	15.645247577518901	20.76864902956938	16.99597505166445	24.9330521874758	32.518067849540195	32.17316991406638	35.28672264086048	34.613939972685436
ENSMUSG00000029922.16	Mkrn1	1.2997033912845335	3.769355981532741	18.1956637445958	0.0018308456899640995	0.41710950149385273	6.373989753803997	6.92288300985646	7.127344376504446	11.176885463351221	10.924038418204908	21.045607387396807	18.70389123586594	21.882375844801135
ENSMUSG00000118107.3	Gm34455	-1.390975603919914	2.2393108288343764	17.907729189219165	0.0019284549050957807	0.41710950149385273	7.53289698176836	7.252544105563911	6.30495848690778	3.439041681031145	2.7945214558198606	1.2095176659423452	3.470825177789555	2.3871682739783058
ENSMUSG00000054021.7	Sirt5	-0.6986504386270739	4.459536314239926	17.885514337147097	0.0019362448584539034	0.41710950149385273	29.55213431309126	28.680515326548193	26.864605726824454	17.48179521190832	18.54546057044089	19.83608972145446	15.618713300052999	15.914455159855372
ENSMUSG00000042734.7	Ttc9	2.26432636407104	1.9788124525000828	17.708052720846112	0.001999864289650727	0.41710950149385273	0.8691804209732723	0.3296610957074505	1.6447717791933338	2.292694454020763	7.113327342086918	4.1123600642039735	5.977532250637568	4.376475168960227
ENSMUSG00000056737.15	Capg	2.4443698518763175	2.47047481100913	17.04156035925574	0.00226262179219665	0.41710950149385273	1.4486340349554538	1.318644382829802	1.0965145194622226	3.1524548742785496	2.7945214558198606	8.224720128407947	8.869886565462197	12.134772059389721
ENSMUSG00000105055.2	Gm43079	-1.1738701383702783	2.4609339925837688	16.897529168070673	0.002324798047151009	0.41710950149385273	6.373989753803997	7.911866296978812	9.046244785563337	4.585388908041526	4.318805886267057	3.386649464638566	2.699530693836321	2.3871682739783058
ENSMUSG00000036437.7	Npy1r	-0.8642270193711643	3.067310873805353	16.549746638093573	0.002483688410896772	0.41710950149385273	9.850711437697086	11.538138349760768	11.787531084218893	6.5914965553096945	5.334995506565188	7.25710599565407	4.820590524707716	6.365782063942149
ENSMUSG00000121015.1	Gm56721	-2.04702578933487	4.304878223406396	16.508434532246888	0.002503426102890363	0.41710950149385273	33.60830961096653	49.11950326041013	27.961120246286676	19.77448966592908	11.432133228353974	3.386649464638566	5.977532250637568	4.575405858458419
ENSMUSG00000036452.19	Arhgap26	1.7710638379304195	3.1821797705369717	16.427664100178298	0.0025425685427299736	0.41710950149385273	4.3459021048663615	3.2966109570745052	2.4671576687900005	6.5914965553096945	6.351185126863319	19.110379121889054	11.955064501275135	13.527286885877066
ENSMUSG00000000901.18	Mmp11	1.498573989268622	2.2667278170226934	16.259166406098306	0.002626642847630839	0.41710950149385273	2.0280876489376354	1.6483054785372526	2.193029038924445	3.1524548742785496	5.080948101490655	4.838070663769381	6.748826734590802	7.957227579927686
ENSMUSG00000135122.1	Gm59199	1.4848685625953446	4.947816015821064	16.17598876239709	0.00266938810159968	0.41710950149385273	14.486340349554538	14.505088211127822	13.706431493277782	19.20131605242389	27.183072342975006	48.864513704070745	41.842725754462975	61.867444433937756
ENSMUSG00000050335.18	Lgals3	2.648641536245753	3.557174355076058	16.002391308642157	0.0027613524208734844	0.41710950149385273	0.8691804209732723	3.2966109570745052	3.563672188252223	3.439041681031145	19.815697595813557	14.756115524496611	27.573777801328134	15.317663091360796
ENSMUSG00000034947.14	Tmem106a	2.1950545217768465	1.523486668515209	15.908677611140373	0.0028125956607560217	0.41710950149385273	0.5794536139821815	0.659322191414901	0.8223858895966669	1.432934033762977	2.032379240596262	3.386649464638566	4.434943282731099	4.7743365479566116
ENSMUSG00000032802.9	Srxn1	1.3818896029712178	5.07252125766962	15.7498604127771	0.00290209994020031	0.41710950149385273	13.906886735572357	21.098310125276832	14.528817382874449	19.77448966592908	55.38233430624815	40.39789004247433	42.03554937545128	57.09310788598115
ENSMUSG00000020946.14	Gosr2	0.777182751723577	3.9617940477651574	15.590318708534571	0.0029955172252075163	0.41710950149385273	9.271257823714905	11.208477254053317	10.69101656475667	16.90862159840313	18.54546057044089	21.771317986962213	15.618713300052999	16.312316538851757
ENSMUSG00000120817.2	Gm56710	-1.9945587014553712	1.653006088151927	15.379228915391959	0.0031247940710263304	0.41710950149385273	5.215082525839634	5.604238627026659	4.660186707714446	2.006107647268168	0.5080948101490655	2.4190353318846904	0.38564724197661726	1.1935841369891529
ENSMUSG00000044042.20	Fmn1	2.0129149436359124	1.2247779274769175	14.992646023078054	0.003379577211954259	0.41710950149385273	0.8691804209732723	0.659322191414901	0.27412862986555564	1.7195208405155724	3.302616265968926	1.693324732319283	3.2780015568012466	2.3871682739783058
