Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Saline_1	CPM_Saline_2	CPM_Saline_3	CPM_Saline_4	CPM_Saline_5	CPM_Saline_6	CPM_Saline_7	CPM_LPS_1	CPM_LPS_2	CPM_LPS_3	CPM_LPS_4	CPM_LPS_5	CPM_LPS_6	CPM_LPS_7	CPM_LPS_8
ENSMUSG00000034158.10	Lrrc58	3.1383906729435287	7.048292934796568	1451.1947642111754	4.017113087447154e-17	5.769779527500348e-13	26.223350145470206	24.149442729753503	26.70196242121667	23.741094973220626	26.2161757960716	28.341076239276024	23.93641257995992	205.46937629849936	204.27346531052459	245.3856474208406	213.0682760497641	209.59611216429695	206.831725165364	259.814083290093	260.4997490542577
ENSMUSG00000025498.16	Irf7	4.767347090718614	6.092563831384244	1218.1383112992291	1.6030357421280823e-16	1.1512201182092823e-12	4.322530243758825	4.115818781456962	4.198114749953627	4.696607918615385	5.253053951647305	4.435994541799726	4.7674182731870385	145.70849518565436	81.0847989520892	121.99614521616554	103.13437634088278	117.58179710627947	153.53671875517986	131.5957706409137	136.0980598262981
ENSMUSG00000026822.15	Lcn2	10.598697214545773	9.21816924869439	913.5117452249858	1.5489994733435051e-15	7.416093145210922e-12	0.3361967967367975	0.29752906853905753	0.878675180222852	0.6193329123448859	0.6382215081440652	1.4786648472665753	0.7449091051854747	1139.6466184176493	859.365028783834	1275.4377026300895	711.766165112897	917.2811190076081	1372.7175858561645	1131.0731541208572	1520.5281777840064
ENSMUSG00000035042.3	Ccl5	7.51401401417087	2.927781482696433	759.4643542997759	6.605233852993863e-15	2.341982983496407e-11	0.096056227639085	0.09917635617968584	0.048815287790158444	0	0.09818792432985618	0.09857765648443835	0.04966060701236498	19.571137264815473	16.228113132777136	14.191598957041254	8.33810164834856	15.168767334603194	13.72052038225682	12.321467117994297	13.00227605349281
ENSMUSG00000044167.7	Foxo1	2.871545033640255	6.428579401098254	739.3373349558503	8.152833612394371e-15	2.341982983496407e-11	19.115189300177914	22.017151071890257	17.57350360445704	17.392932621685546	21.01221580658922	21.342062628880903	19.36763673482234	178.7313436972726	139.36101277941603	129.47898830260547	148.7954091770773	127.78970971510049	124.55979884339867	180.25618392923639	124.17457523575884
ENSMUSG00000040705.4	A930016O22Rik	-4.161213010711205	3.801918118666323	699.5574650546388	1.2571847255713425e-14	3.009490702230199e-11	26.991799966582885	28.612378757839366	27.97115990376079	29.72797979255452	23.270538066175913	25.925923655407285	32.3290551650496	1.4885090314085008	1.33840108311564	0.7740872158386138	1.9356307397952015	2.003422100796648	1.1775073462384584	1.751274514232692	1.930468933706356
ENSMUSG00000040026.9	Saa3	11.478966087537172	7.588756538401296	612.6015044985934	3.547255616156333e-14	7.278461773550487e-11	0.096056227639085	0.09917635617968584	0.048815287790158444	0	0.24546981082464045	0.24644414121109587	0.09932121402472996	220.0236868278269	196.52189237081316	469.2516702413677	276.0507224292541	466.4157452759435	585.2723470520895	203.8983898713777	468.02515942769094
ENSMUSG00000022180.8	Slc7a8	3.14223870257566	6.21419910052598	519.8468422976675	1.2738303697869824e-13	2.2870032001563035e-10	11.430691089051114	14.43015982414429	14.74221691262785	14.915600972306	14.924564498138139	13.603716594852493	16.23901849304335	110.09453836010282	137.9668449845039	121.37687544349465	95.59037961142457	123.87826656592608	95.42929101689072	176.25327075384737	151.7689252881497
ENSMUSG00000075010.8	AW112010	2.508586131895971	4.025763941334925	493.1744390610663	1.9173844703941226e-13	3.059932572030087e-10	4.22647401611974	5.60346412415225	4.832713491225686	4.23210823435672	4.713020367833097	4.337416885315287	4.419794024100483	31.865119264967166	33.236960230705066	26.88662929679452	19.405938955382663	26.139888362775313	24.4716744131297	24.455297680892237	24.301197165480012
ENSMUSG00000074115.6	Saa1	8.230011479412559	2.7609906425592294	482.66616871565	2.2659547686413752e-13	3.178206858918044e-10	0	0.04958817808984292	0.048815287790158444	0.05161107602874049	0.04909396216492809	0	0.04966060701236498	12.90041160554034	6.580471991985231	18.062035036234324	9.231469682100192	16.45668154225818	16.075535074733736	8.568736016067101	12.264155578840379
ENSMUSG00000105703.4	Gm43305	3.2853167980583904	8.614898623901999	478.23096237972936	2.4340510651046776e-13	3.178206858918044e-10	64.26161629054786	67.88621580499496	76.83526298170939	75.4553931540186	66.62050665780741	72.65173282903106	60.486619341060546	470.6996337098437	551.9231466498121	956.616981333359	527.3352977006158	673.7699327083966	644.3524982503147	859.5630588964245	711.2074665766417
ENSMUSG00000024338.16	Psmb8	2.805136016468772	3.7713464967271153	469.412987985277	2.811628669679481e-13	3.365285215217199e-10	3.361967967367975	3.124055219660104	3.368254857520933	2.9934424096669483	3.3383894272151102	3.3516403204709038	3.0789576347666285	29.770180628170017	18.40301489284005	25.441666493895777	15.534677475792257	22.419247318438682	27.2362568782113	22.26620453810137	19.929252815615616
ENSMUSG00000061232.17	H2-K1	1.9904918490510486	6.609377402880745	451.56420145533315	3.795703929640636e-13	4.1936688878021886e-10	35.060523088266024	38.18289712917905	35.14700720891408	34.94069847145731	44.97006934307413	38.39599720068874	37.34477647329847	182.92122097086687	128.7095708262874	160.08123623542534	119.8105796375799	147.87163124927642	160.39697894630828	161.992892566524	137.51752227755279
