Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_CLP_1	CPM_CLP_2	CPM_CLP_3	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3
ENSMUSG00000121572.1	Gm64043	9.171879699246341	-1.2462040506360874	227.95648583920197	6.221892485981828e-5	0.23715958608073112	0.9010268807333901	0.7336862415344598	0.7382688054131128	0	0	0
ENSMUSG00000043635.13	Adamts3	-2.7838563935879876	-1.2827691791474056	51.109486205177745	2.8925472138946327e-4	0.23715958608073112	0.10396464008462193	0.13678896028608573	0.06026684125821329	0.7997872757853889	0.620462705867591	0.6353522436363606
ENSMUSG00000054641.11	Mmrn1	-1.9899711124628552	0.5272448282014691	45.25609525755954	4.0926536412283444e-4	0.23715958608073112	0.5660297071273861	0.4352376009102728	0.7081353847840062	2.0115861784905236	2.7590788409856706	2.053549216038951
ENSMUSG00000004098.8	Col5a3	-1.5887459580540473	4.515599267436426	44.15304403187343	4.388834350290615e-4	0.23715958608073112	13.492299957648713	12.472666106085818	8.25655725237522	35.214876112611215	28.501680467407	39.18761874142838
ENSMUSG00000038216.8	Pnmt	1.973922394972518	0.9880043091434381	42.88937808273426	4.763788028437256e-4	0.23715958608073112	4.077724216652394	2.909874246085824	2.3880735848567016	0.7755512977312862	0.9504960600524798	0.658043395194802
ENSMUSG00000105353.2	Gm42428	-7.6826805407632905	-2.6584951580309433	74.34461261697977	6.685199877546295e-4	0.23715958608073112	0	0	0	0.25447776956807827	0.40924135918926213	0.1815292124675316
ENSMUSG00000136231.1	Gm67299	2.0437336310732714	-1.565955122140625	37.47544554690695	6.947609635190606e-4	0.23715958608073112	0.554478080451317	0.422802240884265	0.5348682161666429	0.1575338573516675	0.09240933917176887	0.11345575779220725
ENSMUSG00000020142.13	Slc1a4	-1.5968263861895176	-0.860730714663291	36.93000981627501	7.235685250801722e-4	0.23715958608073112	0.2887906669017276	0.2611425605461637	0.24106736503285317	0.7513153196771835	0.8976907233828976	0.7488080014285678
ENSMUSG00000059857.17	Ntng1	-2.490764289065281	-2.1531734638345257	34.540135888039046	8.70098712128482e-4	0.23715958608073112	0.05775813338034552	0.07461216015604677	0.05273348610093663	0.46048358302795117	0.21122134667832884	0.3744040007142839
ENSMUSG00000109846.2	Gm45627	6.8641638394870395	-3.2687755443382827	63.075491675788555	9.396735350128873e-4	0.23715958608073112	0.11551626676069104	0.2114011204421325	0.15066710314553322	0	0	0
ENSMUSG00000089774.3	Slc5a3	-1.9980222127149814	1.265645895612838	33.37198871465718	9.56039998538155e-4	0.23715958608073112	1.004991520818012	1.2559713626267872	0.6102017677394096	4.810841643739384	3.4587495518576348	3.176761218181803
ENSMUSG00000059422.6	Gm8116	-0.879338553066125	4.5704710426470925	32.73731520812582	0.0010074458143176784	0.23715958608073112	16.87692657373696	17.073749315708703	16.211780298459377	33.73648145131095	32.514886054295246	26.026750837532344
ENSMUSG00000002769.10	Gnmt	3.4992815781381297	1.3935048556931762	32.51730543109914	0.001026112427137689	0.23715958608073112	7.404592699360296	1.4922432031209354	5.431549068396473	0.35142168178448907	0.43564402752405323	0.4765141827272704
ENSMUSG00000045215.19	Asxl3	-2.1049834483949406	-1.7470698153912003	32.435476595661086	0.0010331711546414802	0.23715958608073112	0.11551626676069104	0.09948288020806235	0.0979336170445966	0.4968375501091052	0.2904293516827022	0.5672787889610362
ENSMUSG00000082769.4	Gm15793	4.531366722599102	-2.865687999568812	31.143375487545146	0.001153609083257438	0.23715958608073112	0.2310325335213821	0.1740950403641091	0.24106736503285317	0	0	0.02269115155844145
ENSMUSG00000020846.7	Rflnb	-1.4034889512531386	4.005237592773858	30.36275471599195	0.0012354269815196826	0.23715958608073112	8.328722833445823	11.266436183563062	6.810153062178102	18.407225332090995	23.432368147127107	27.989535447337527
ENSMUSG00000001435.16	Col18a1	-1.3255053810731126	2.812162318746264	30.29104719533972	0.0012433208071573958	0.23715958608073112	4.158585603384878	4.613518569648892	3.2167426521571345	12.554236632025194	8.541263206304922	8.940313714025931
ENSMUSG00000097621.3	Gm26562	2.2221243450978476	-2.7071071174691044	30.13590734614703	0.0012606275896405912	0.23715958608073112	0.16172277346496747	0.28601328059817926	0.1958672340891932	0.03635396708115404	0.05280533666958221	0.0453823031168829
ENSMUSG00000116875.2	Morf4l1-ps1	11.40137668241748	0.9145208072812989	53.9057181046578	0.0012973657318210703	0.23715958608073112	6.226326778401247	0.8704752018205456	4.0378783643002905	0	0	0
ENSMUSG00000005124.11	Ccn4	-2.841091463890459	-0.5383324295325713	29.635443869672837	0.0013186639088183006	0.23715958608073112	0.09241301340855283	0.27357792057217145	0.12806703767370325	1.70863645281424	0.9240933917176887	0.8963004865584372
ENSMUSG00000027712.14	Anxa5	-0.9887211876202149	4.302165324026374	28.987393558372297	0.0013991536257399943	0.23715958608073112	10.754564435420336	15.705859712847845	13.160771459762328	24.308685988265	25.782205628923514	28.534123084740123
ENSMUSG00000024501.21	Dpysl3	-1.522496412030537	2.4413677050337554	27.90638434427237	0.0015484160830123333	0.23715958608073112	2.310325335213821	3.7803494479063695	2.297673322969382	9.439913452072998	6.283835063680283	8.361689349285674
