Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Saline_1	CPM_Saline_2	CPM_Saline_3	CPM_LPS_1	CPM_LPS_2	CPM_LPS_3
ENSMUSG00000032578.8	Cish	-3.765042971573448	5.857340439551827	4206.834411557357	3.5349902431012494e-23	2.701230649924333e-19	109.6821817738976	106.51757343369094	106.07349394135922	7.261099427348693	8.680128821564601	7.750578638107369
ENSMUSG00000056328.15	Myh1	2.0427972349913652	9.393178679556389	4181.365183885249	3.7371757746601177e-23	2.701230649924333e-19	257.7662785093996	258.43536209579844	271.87683536656584	1069.0503156886548	1102.1955243215884	1075.9863997192178
ENSMUSG00000074622.5	Mafb	-2.560719961934488	5.823585523713624	2558.624247030807	3.3410455149370457e-21	1.4107354956448464e-17	94.20743750284011	95.74760916542625	99.22576734372878	17.13799864840064	15.461479463411946	16.397177928019058
ENSMUSG00000027313.4	Chac1	-3.627897325594919	5.454444067620798	2515.408592231312	3.903529318331063e-21	1.4107354956448464e-17	79.78480049100465	84.93386455460765	77.0921478249362	5.502199566065469	7.233440684637168	6.809756953712833
ENSMUSG00000039910.11	Cited2	-2.500853157250379	6.2325726197800515	2390.9506681129874	6.204548065289591e-21	1.7938589366365264e-17	127.04195155106125	129.76493532982323	125.15877065217437	23.181398171784025	23.96077226786062	20.339668795958065
ENSMUSG00000026819.16	Slc25a25	3.0005031649315375	5.296025076845786	2156.0574636016845	1.5944180765383494e-20	3.841484619073063e-17	9.731992147803863	7.705340289490179	8.79159737373198	71.70899434462373	69.9835386238646	68.32157470007941
ENSMUSG00000038037.6	Socs1	-5.406008304804213	4.164433401075576	1792.3060579593555	8.593044382687894e-20	1.7745864228019458e-16	35.289430986405904	34.67403130270581	33.84102305667687	0.45099996443159585	1.1754341112535398	0.8064185866238881
ENSMUSG00000143426.1	BC023105	-1.5167426856126363	7.344630823710969	1742.3143807940216	1.1118186641296726e-19	2.0090563260823183e-16	243.65050611483727	234.83775745923478	243.07220477524297	81.08979360480093	85.80669012150841	85.25636501918106
ENSMUSG00000066595.10	Flvcr1	-3.095778888625431	4.556805808498601	1366.7575450493048	1.0112425275882998e-18	1.5606260387627314e-15	41.645912344205726	42.02912885176461	41.57232727980801	4.915899612304394	3.93318337227146	5.779333204137865
ENSMUSG00000026773.20	Pfkfb3	-1.2809593735530391	8.063135851416101	1356.9519307489356	1.0795697556466045e-18	1.5606260387627314e-15	393.35660154164	371.65132794023936	370.8375294226444	158.97748746213753	151.85704537310156	156.57960890280495
ENSMUSG00000048546.9	Tob2	1.4621392067209125	5.752791994130972	1069.1511894676353	9.3701294386307e-18	1.2314053742258672e-14	28.66992281380057	28.32588163238719	29.202240522798185	77.12099391780289	79.38701151389292	81.00026692311054
ENSMUSG00000076617.10	Ighm	1.0121165663945262	7.962871529420584	1028.240252661699	1.3336220299021633e-17	1.6065700053554728e-14	166.49597377188772	163.16933669846532	166.59856128815727	331.48497385722294	338.9771140838093	330.45241638543325
ENSMUSG00000030433.16	Sbk2	1.3478352339126636	6.056522111319848	935.3512684242706	3.137597650781158e-17	3.4890085876686475e-14	37.437483307317564	37.69487493892639	37.552049083779814	91.73339276538658	99.64064543087699	95.4710004497503
ENSMUSG00000092274.6	Neat1	-0.9274009961858322	9.878204801359766	869.9306984522839	6.035497701747722e-17	6.23208248403322e-14	1269.2358948439878	1178.7857232643355	1251.896958690669	654.4460483866887	638.8936484705779	652.0790293505939
ENSMUSG00000020061.19	Mybpc1	1.225754987125485	6.100767815235365	849.4854495056701	7.478524188413467e-17	7.207303044513673e-14	41.38288552940021	39.79633138151462	42.190831617658496	93.98839258754457	97.74186725115973	96.81503142745679
ENSMUSG00000027333.19	Smox	0.8485169744340877	9.932250707801302	833.5336924547314	8.871441436496042e-17	8.015347337874174e-14	686.0177708152372	720.9309008354248	686.2305628451198	1261.6724004973894	1267.9769430126166	1239.465367640916
ENSMUSG00000023034.8	Nr4a1	1.0957920467241848	7.188766289353775	822.6758518586001	9.983540774408265e-17	8.489533260873286e-14	96.61851663855728	94.04017580582332	88.40194143134518	198.80078432144742	202.44592116128274	195.24290002816136
ENSMUSG00000032060.11	Cryab	0.8877903159615425	8.846918893083346	801.3327605578112	1.2649303949695117e-16	1.0158796549821811e-13	314.1416924827139	330.1037828565679	325.06820842170805	583.9547539460302	609.6434227020764	599.9754284481727
ENSMUSG00000026185.9	Igfbp5	-0.9361068274817052	8.730188657877706	794.5643922399245	1.365278682029273e-16	1.0387615067060616e-13	581.4207741275795	543.7956348622586	547.3763389976846	294.32257678805945	284.90714496614646	294.925197541392
ENSMUSG00000002910.12	Arrdc2	1.5445267339743942	4.844893041563317	748.8565530929903	2.326095475548033e-16	1.681301809726118e-13	15.299393061187155	14.622634413009772	14.093063126736189	42.39399665657001	41.90874696661659	44.12901710136276
ENSMUSG00000068699.13	Flnc	0.8572136237609803	7.966336973915688	689.4970371322111	4.882753251963917e-16	3.2919643031206277e-13	179.1212608825522	173.67661891140648	180.95669770254366	318.496174881593	318.67827116254625	329.7355998639898
ENSMUSG00000018893.16	Mb	0.9130858457647877	9.086664799637592	687.5236782664292	5.009906936127131e-16	3.2919643031206277e-13	356.9712254935444	382.55263323616583	392.04339243466126	697.2910450076903	727.5937148659411	705.9298705240336
ENSMUSG00000009633.4	G0s2	2.3364553711179648	3.4904816982154965	648.87595549431	8.414488198388982e-16	5.288688756343962e-13	3.6385376048095526	3.633768431975482	3.8435626709280513	17.36349863061644	19.62070785707832	19.219642981202668
ENSMUSG00000052374.17	Actn2	0.851911395129014	7.876729547453525	635.1153127107067	1.0194767262854778e-15	6.140648147992862e-13	162.59440935227266	166.49664273256334	173.71136117343792	304.6053759770998	297.8821291942144	305.00542987419055
ENSMUSG00000004939.8	Nmrk2	0.8261038982323776	8.221629347954298	624.8953819217994	1.1787613590053535e-15	6.789989639697989e-13	210.77215426414855	211.63417590565638	223.54513925167748	375.2319704070877	382.8750572387011	387.0809215794663
ENSMUSG00000046818.8	Ddit4l	-0.8024562039967924	7.73485620823732	622.428577669173	1.2212211582190628e-15	6.789989639697989e-13	270.65459243486964	274.63408884074937	266.35447520718645	156.04598769333217	156.2875277924418	153.04032732817788
ENSMUSG00000020473.14	Aebp1	-1.107540835872273	6.069105596544093	590.1806946971184	1.964890013746899e-15	1.0520166681009323e-12	93.90057288556702	92.55164415898999	87.9159737373198	43.65679655697848	43.491062116380974	40.186526233423756
ENSMUSG00000047139.10	Cd24a	0.7767744677093266	7.9736784913128504	582.1040857084935	2.222208759307118e-15	1.1472946365908464e-12	180.43639495657976	188.2116926393084	187.23009884359865	318.6765748673656	312.75589160199956	320.95459747630747
ENSMUSG00000021622.4	Ckmt2	0.6869829195236566	9.620868952562217	531.3605066081019	5.011906015021089e-15	2.4983487363153403e-12	584.0948800781022	604.1249469015623	621.8619328273937	973.2579232433837	976.5144924260177	964.2974254718093
ENSMUSG00000022899.11	Slc15a2	-2.8019730586916114	2.7001950755537023	511.88646301533055	6.987293812032731e-15	3.366943978224839e-12	10.915612814428659	10.551062555495074	11.92829794425947	1.623599871953745	1.491897141206416	1.6576382058379922
ENSMUSG00000025172.4	Ankrd2	1.6300592756332837	3.9980302917298487	499.2089630168566	8.732395099513647e-15	4.072113018018364e-12	8.241506863905975	7.617779604382336	7.5104098167559625	23.226498168227184	25.226624387672125	23.92375140317535
ENSMUSG00000096768.11	Erdr1y	1.3706554810586078	5.404236303974191	485.4997828191577	1.1182738111175154e-14	5.051801941723376e-12	22.883332888079355	21.408587508867598	26.595686527571115	63.00469503109394	58.726496558398004	61.55661877895679
ENSMUSG00000006221.8	Hspb7	1.0063528409412388	6.080532633961024	469.1601823016327	1.5151815356809407e-14	6.6374134181223265e-12	48.4407717266814	43.12363741561265	43.38366141208444	91.19219280806867	89.28778345099005	90.63248893000699
ENSMUSG00000097705.4	Gm26740	-0.9095136813680158	6.065143353656748	464.83524360500127	1.6448392633307296e-14	6.993469526679126e-12	87.67560493516994	83.97069701842138	89.85984451342134	46.27259635068173	46.067975360282965	46.86188008936594
ENSMUSG00000042254.15	Cilp	1.8723054449417253	3.8742671261739483	455.94496801253354	1.951813895433513e-14	8.061549049253389e-12	6.268805752864651	6.961074466073514	5.610717921929455	21.106798335398683	24.548489323487388	23.386139012092755
ENSMUSG00000042451.13	Mybph	0.6304825756904782	9.458052897131973	431.96714715747277	3.148125581491971e-14	1.2641473168346648e-11	550.3397721780617	571.0270079307977	534.7411789530246	863.5296318971765	849.4319813977984	850.8612109533824
