Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Denervation_1	CPM_Denervation_2	CPM_Denervation_3
ENSMUSG00000060716.8	Plekhh1	8.621212493348866	5.88320304407988	2875.829482488926	5.056225080389503e-16	4.562367691025325e-12	0.23698853650238016	0.25683555059244473	0.39191934889454183	119.08935210665031	108.34200675422848	123.1373881930665
ENSMUSG00000034361.11	Cpne2	6.418937832433661	7.190655004669653	2742.944306661283	6.766239828253682e-16	4.562367691025325e-12	3.475831868701576	3.5956977082942263	3.004715008191487	309.2634793797291	266.53738029236047	287.93352300504955
ENSMUSG00000027107.4	Chrna1	6.116799430872148	8.680499233250664	2724.536651529018	7.052662994319563e-16	4.562367691025325e-12	10.585487963772982	11.514793851561272	12.846245324876648	803.2058007405831	847.8847336077328	773.0401047576457
ENSMUSG00000028082.15	Sh3d19	4.690481760440185	7.6835149931620945	2347.1598510714994	1.765612786350818e-15	8.56631183617758e-12	15.404254872654711	15.495744885744164	14.98002844663582	376.02653865553623	407.36783288730595	401.63585087612284
ENSMUSG00000022952.18	Runx1	6.5176932427104886	7.527275494093478	2253.858395803541	2.266081327370536e-15	8.795568064056e-12	3.475831868701576	4.87987546125645	3.570820734372492	357.8082708062786	364.87568259018803	369.5654022178398
ENSMUSG00000034457.11	Eda2r	4.989298898901546	7.378528669171823	2140.6990550343867	3.1108385138036985e-15	1.0062007172898063e-11	9.795526175431714	10.016586473105344	10.581822420152628	328.6366885445839	343.33468690930596	293.47196908733326
ENSMUSG00000026251.14	Chrnd	7.022321947731307	7.29155931251086	1882.724505966376	6.85073525948617e-15	1.8993174168692585e-11	2.725368169777372	2.6967732812206697	1.6983171785430144	336.3487160390549	309.241873372751	284.58418604619817
ENSMUSG00000032511.18	Scn5a	8.543678619797365	6.489960229125208	1771.8318219653877	9.947876798389671e-15	2.4132305628293543e-11	0.47397707300476033	0.5136711011848895	0.43546594321615756	199.04109608314695	139.95748781926903	196.12228636829917
ENSMUSG00000026459.6	Myog	5.5303103268842175	7.062534575868504	1725.1006348259714	1.172290751723445e-14	2.5278496242996554e-11	4.858264998298794	5.821605813428747	6.270709582312669	279.3281456028815	229.54254871774583	273.5510760640994
ENSMUSG00000028381.9	Ugcg	4.296380603740737	6.836403865551647	1609.3926758932532	1.7955315442647298e-14	3.271063108359967e-11	10.032514711934095	10.658675349586456	12.41077938166049	212.17389652663022	216.68401350845696	221.23136801406758
ENSMUSG00000036390.9	Gadd45a	5.859849739052797	7.503244653231904	1601.0059443252824	1.854057514915218e-14	3.271063108359967e-11	7.109656095071405	5.265128787145117	5.965883422061358	409.1845312646145	330.2402152741586	328.1036754200321
ENSMUSG00000022533.15	Atp13a3	4.784379859702572	8.911769269238857	1565.4376291144536	2.1282265922438165e-14	3.4418744563063124e-11	30.848007834726488	36.38503633392967	33.87925038221706	862.9088155226596	1047.5105435266194	875.687431555386
ENSMUSG00000023043.8	Krt18	10.866794385056565	6.106749557222845	1508.8217070450128	2.66808530295034e-14	3.983040882642865e-11	0.07899617883412673	0.08561185019748158	0.043546594321615756	168.2488703624692	107.8937275450973	134.36751799627416
ENSMUSG00000028573.19	Fggy	7.661475435853213	4.155445990751138	1466.46014040124	3.1774865970012375e-14	4.404677313428787e-11	0.11849426825119008	0.25683555059244473	0.13063978296484727	36.04534589807107	35.57921301946354	32.26746847939201
ENSMUSG00000049985.16	Ankrd55	7.3926292075895015	5.026194153383004	1393.4850443845546	4.345670841180142e-14	5.335592540824925e-11	0.3159847153365069	0.599282951382371	0.21773297160807878	70.07885853671492	61.34347072321299	60.331847441794004
ENSMUSG00000002265.18	Peg3	3.704853341317097	8.0534220261594	1368.3326072580417	4.859205287166448e-14	5.335592540824925e-11	38.31314673455146	37.62640816179315	37.40652452226794	465.5344906143122	542.9133095430208	469.78281788857015
ENSMUSG00000001473.8	Tubb6	4.12825093512693	5.753857009969692	1364.4291901199956	4.945070193482967e-14	5.335592540824925e-11	6.596180932649582	5.564770262836302	5.182044724272275	98.30040842590235	105.58155057168389	100.1298513057931
ENSMUSG00000000794.10	Kcnn3	5.757117265932025	6.815391774693443	1348.0391240913445	5.325393889463582e-14	5.335592540824925e-11	3.396835689867449	5.350740637342598	3.4837275457292605	210.59050923911806	222.93632879370753	227.38276465091232
ENSMUSG00000021765.10	Fst	4.938370210774914	4.507795785903349	1335.020275803294	5.651839765365657e-14	5.335592540824925e-11	1.5799235766825346	1.3269836780609645	1.3063978296484726	40.06901241692552	46.78619324774283	43.01599427544456
ENSMUSG00000032380.10	Dapk2	3.3474376516195115	6.446909866346174	1334.9844553394382	5.652769496592145e-14	5.335592540824925e-11	15.009273978484078	15.110491559855499	16.50415924789237	155.1905822619277	160.2008331579293	159.14823327352772
ENSMUSG00000026313.17	Hdac4	3.6709429188713725	9.370020711760322	1330.3880644728868	5.773558167533541e-14	5.335592540824925e-11	91.79355980525526	100.55111805694212	96.49925301670052	1253.4652610518367	1128.271582097988	1297.1785021810397
