Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3	CPM_Sham_4	CPM_Sham_5	CPM_Denervation_1	CPM_Denervation_2	CPM_Denervation_3	CPM_Denervation_4	CPM_Denervation_5
ENSMUSG00000033044.13	Dhrs7c	-7.412701830758609	6.381227539607557	4017.349082282806	6.391702299336869e-19	9.879015073855066e-15	183.55562030953723	164.23893027285732	172.60789061786423	149.7610936959463	162.18447827985142	0.8962860554592174	0.7093403175963885	1.2693457827816552	0.7951762979944681	1.120648121349062
ENSMUSG00000023336.7	Wfdc1	-4.4524127013188135	5.32997611853532	3343.3724777699067	2.363289648515968e-18	1.82635024037314e-14	79.87407342911769	77.90336999149325	75.34183015039407	72.96386473776474	81.55075745493338	3.674772827382791	3.4580340482823937	3.521410881265237	4.032679796971945	3.071405962215948
ENSMUSG00000024048.16	Myl12a	4.113769935729084	10.10940538069194	3027.645013071109	4.787418486696404e-18	2.466478004345987e-14	121.9537827542937	120.75651616613533	114.22402866852349	126.24113017406667	119.73878283342827	2021.4835694827188	2291.789898614232	2054.8660891327286	2140.38740097311	1929.9635923929643
ENSMUSG00000048416.16	Mlf1	-5.360933576006159	6.997478400868957	2641.8092488557295	1.2624407060603812e-17	4.878070888217313e-14	269.5005994687369	219.36280112305772	251.64413526920205	267.5558281301115	242.88370172119915	7.349545654765582	6.118060239268851	6.510515466525264	5.111847629964438	5.22969123296229
ENSMUSG00000023243.10	Kcnk5	4.916623870972636	5.3879244099335795	2501.7184900791062	1.8597095565999388e-17	5.1012863961266655e-14	2.2021912942454205	2.6429253147356353	2.8465160908910945	2.3390018972034996	3.2096282050536025	73.94359957538543	78.38210509440093	75.38276084196862	88.54856061238398	84.09011458715555
ENSMUSG00000022235.16	Cmbl	-4.5960467048658	5.093563550422804	2411.733350898102	2.412821492546578e-17	5.1012863961266655e-14	69.87493457957092	56.382406714360215	70.37556803437131	65.23216402200872	69.03975771686729	3.0025582857883784	3.0590301196344254	2.4567982892548166	2.555923814982219	2.5733401305052537
ENSMUSG00000038807.20	Rap1gap2	4.172281217836894	6.336565986088467	2355.769875451169	2.850939534513065e-17	5.1012863961266655e-14	7.380316769903572	7.110727632503019	9.750831715605663	8.771257114513125	9.17036630015315	153.444172694618	157.3405491968489	147.3260040789805	143.6997167090003	158.84149482973558
ENSMUSG00000087523.4	Gm12319	-3.6785960159234614	5.099741642670673	2323.235475144122	3.147061795336289e-17	5.1012863961266655e-14	70.52964009948171	61.16484299816756	67.83187280421332	59.25471472915533	61.899972526033764	5.422530635528265	4.832380913625396	4.831703302201139	4.714259480967204	5.188185746986399
ENSMUSG00000037613.17	Tnfrsf23	4.840987513922789	6.069348078210258	2309.497471043054	3.28251923561098e-17	5.1012863961266655e-14	4.166307853977822	3.398046833231531	4.966262116022761	4.742976069329319	5.174706697943563	128.4826060500788	114.73579637121584	127.58972448863346	142.2229607270106	130.78378631003315
ENSMUSG00000022105.7	Rb1	3.495777338309402	6.828286777983146	2299.061347160831	3.389869320333074e-17	5.1012863961266655e-14	16.843787466796055	20.01072024014124	17.563609922519518	17.607486503948568	20.109303243907267	227.47740087554936	199.2802954747354	197.11711607454478	201.9747796905949	213.3381979160807
