Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Denervation_1	CPM_Denervation_2	CPM_Denervation_3
ENSMUSG00000026253.15	Chrng	10.925290944253044	6.6818206959947215	3731.300363287718	2.6896033249398627e-12	2.3708727147250315e-8	0.17729924165686567	0.06004889726920396	0.059522227449402124	197.73579314326042	209.72290495781874	204.4457753305808
ENSMUSG00000001864.14	Aif1l	7.730358457877285	7.397010065795711	3606.1000822783512	3.097358043928449e-12	2.3708727147250315e-8	1.5365934276928357	1.741418020806915	1.428533458785651	328.89183035389783	310.576223406026	363.31092647109193
ENSMUSG00000023043.8	Krt18	9.919773653766853	8.326007268219454	2622.3307781697877	1.1559937886208915e-11	4.180908078056351e-8	0.7091969666274627	0.3602933836152238	0.8928334117410318	669.9118376348022	616.2054705759601	633.4965614058871
ENSMUSG00000031880.8	Rrad	8.037957027640678	7.824003153535292	2519.626379788674	1.3635009570445737e-11	4.180908078056351e-8	1.595693174911791	1.801466918076119	1.7261445960326616	514.7498809019778	389.94449907704626	445.94896870186864
ENSMUSG00000079278.4	Tmem233	-4.174906860710835	7.527727335597028	2518.730241260561	1.3655065902594392e-11	4.180908078056351e-8	348.09751111964624	341.0176875918093	362.31179848451075	18.88990388631111	20.257326047062037	19.047512872923424
ENSMUSG00000026773.20	Pfkfb3	-5.123497868258743	9.001136296198014	2345.878021914187	1.8317266059409804e-11	4.6736504350584115e-8	1026.2671104571575	945.5299364008856	1019.4371895259102	26.546039173565994	28.34581273965009	30.90588664594968
ENSMUSG00000076441.10	Ass1	6.246091454837266	5.781768423392785	1790.1705497676605	5.593310577687593e-11	9.85303264960732e-8	1.2410946915980596	1.321075739922487	1.6666223685832595	118.41966262062458	95.14804658468533	108.65234969535307
ENSMUSG00000048416.16	Mlf1	-4.466533690822738	7.047842996698887	1776.0345949875289	5.7793368294593144e-11	9.85303264960732e-8	236.75358735913463	266.61710387526557	258.56455604020283	10.804452601640067	12.782697719536472	10.857823485927165
ENSMUSG00000027864.10	Ptgfrn	4.685561529586505	5.589654051357029	1637.493407937642	8.080080837062724e-11	9.85303264960732e-8	3.191386349823582	3.9031783224982575	3.5713336469641273	100.28106172979174	85.50685932164511	89.01191813377834
ENSMUSG00000035606.9	Ky	-4.799858804610133	8.371129077390547	1626.3642788736245	8.310629776347512e-11	9.85303264960732e-8	660.7351739079194	626.7303407986817	632.780800014594	25.007656849491415	19.67957699759146	24.235551398622412
ENSMUSG00000025151.17	Maged1	3.2268056950909156	6.699112434811559	1610.0354594307669	8.66387495286287e-11	9.85303264960732e-8	20.80311102107224	19.635989407029694	19.40424614850509	194.76635749446532	179.49940780738928	186.1394108184715
ENSMUSG00000049382.11	Krt8	9.846767598588	7.609884298812668	1607.99216839362	8.709379506327644e-11	9.85303264960732e-8	0.4727979777516418	0.1801466918076119	0.5952222744940212	455.25383892672136	355.8573051582823	355.8623854449098
ENSMUSG00000049173.9	Myoz3	-3.061594781031131	6.502746068303443	1552.4723795801008	1.0067717562603091e-10	9.85303264960732e-8	170.3845712322479	159.60996894154414	157.73390274091562	19.569654215553367	19.932342206734837	18.899283200760596
ENSMUSG00000026100.7	Mstn	-4.365781188823543	5.32018361026168	1549.8570818811197	1.0137970494723727e-10	9.85303264960732e-8	81.32125217328239	80.46552234073332	69.10530606875587	3.4703043124473063	4.044243346294025	3.668684386029998
ENSMUSG00000116066.4	Cmarr	-6.736382262028151	4.231334368116301	1549.2857404226165	1.0153398952993718e-10	9.85303264960732e-8	34.33695313421298	41.37369021848153	38.39183670486437	0.28621066494410774	0.2888745247352875	0.48174643452919164
ENSMUSG00000087523.4	Gm12319	-4.854182826514044	4.58284936269043	1535.9444467443664	1.052209683516074e-10	9.85303264960732e-8	49.2300894333897	43.115108239288446	48.927270963408546	1.4668296578385522	1.5165912548602596	1.8899283200760595
ENSMUSG00000029223.13	Uchl1	6.584106219958588	6.685323955148274	1521.4606755155792	1.0941377950442513e-10	9.85303264960732e-8	1.9502916582255223	2.642151479844974	1.7261445960326616	223.3874239888761	176.75509982240405	207.29919651971525
ENSMUSG00000032503.19	Arpp21	4.6712273705625424	5.690863573116151	1476.8209103945835	1.237095889090724e-10	1.0521500536716607e-7	3.368685591480448	4.563716192459501	3.6308558744135295	92.94691344059899	102.0088165471484	99.94385645578691
ENSMUSG00000026173.17	Plcd4	-4.615019146643248	7.263005677395273	1453.4098613877072	1.321348631888043e-10	1.0646592739775814e-7	280.1919015650667	274.4835094175313	333.20542926175307	13.30879591990101	11.229997149084303	11.67308668282272
ENSMUSG00000050821.15	Fam131a	-3.3804482302597583	5.8522496220861155	1394.3165903360577	1.5679583729326433e-10	1.1856105306800945e-7	97.51458291127612	107.84781949549031	112.85414324406642	10.196254938633839	9.785624525407865	10.56136414160151
ENSMUSG00000046345.6	Smco1	-4.413159984609681	4.934383346175201	1369.635960164325	1.6877397889155598e-10	1.1856105306800945e-7	55.73106162747477	57.76703917297421	63.98639450810728	2.468566985142929	3.1776197720881627	2.6681340989309077
ENSMUSG00000099411.4	2310015D24Rik	-3.5963290216933714	3.612459715022167	1366.493001647142	1.703797222219745e-10	1.1856105306800945e-7	23.344400151487314	23.839412215873974	22.3803575209752	1.8603693221367004	2.0221216731470126	1.8528709020353524
ENSMUSG00000022952.18	Runx1	6.330189932040396	6.136987851969129	1349.8080083675793	1.7922896880090701e-10	1.192963601466559e-7	1.9502916582255223	1.9816136098837307	1.1904445489880424	143.2126614714079	122.23003327861854	148.00732765458395
ENSMUSG00000025161.17	Slc16a3	-4.549419189756358	7.826099146402575	1282.9122146742138	2.2099182836626286e-10	1.4096516251912992e-7	449.2762783584976	432.1118647491917	426.83389303966266	15.777362905043939	18.632406845426043	21.456245045569382
ENSMUSG00000031382.15	Asb11	-3.6697371204648626	5.851104203847112	1235.1007158301657	2.5842256718131397e-10	1.5260697949023126e-7	97.10088468074343	105.50591250199136	120.5920328124887	8.300109283379124	8.557907795282892	8.523206149362622
ENSMUSG00000022747.18	St3gal6	-3.122212016318078	6.3522204806639655	1234.223901177806	2.5917966338402335e-10	1.5260697949023126e-7	146.74467234466582	155.16635054362303	139.63914559629737	15.705810238807912	17.982439164771648	17.009354880684537
ENSMUSG00000001473.8	Tubb6	4.331480676727492	5.855391049660796	1216.3615067601286	2.7522020080859e-10	1.5604985385847053e-7	5.732675480238656	6.004889726920396	4.5236892861545615	113.33942331786666	100.0228041895933	114.32213465558125
ENSMUSG00000024617.17	Camk2a	-3.811095874845357	8.635085390536062	1204.5354254775705	2.8652126087206776e-10	1.5650616710162827e-7	770.5425042407383	752.5928294749333	705.8740953224598	47.90451004502003	51.564102665248825	59.32892628317199
ENSMUSG00000028381.9	Ugcg	4.231470061246227	5.281735332820147	1193.2578301466835	2.9783959170231393e-10	1.5650616710162827e-7	3.7823838220131343	3.7830805279598496	4.047511466559344	78.17128786285943	62.93853707670077	77.33883145095561
ENSMUSG00000030029.15	Lrig1	-3.2389434150516188	5.9467706010068975	1184.799471703832	3.066944289665457e-10	1.5650616710162827e-7	108.03433791625015	123.10023940186812	105.41386481289116	11.519979264000337	11.627199620595322	12.488349879718276
ENSMUSG00000096606.3	Tpbgl	-3.886685499252417	5.920092136150486	1147.6457804860534	3.496911930050593e-10	1.6050360815818692e-7	105.07935055530238	110.24977538625848	127.13947783192293	6.904832291776599	8.269033270547606	7.967344878752016
