Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3	CPM_Sham_4	CPM_Sham_5	CPM_Sham_6	CPM_Sham_7	CPM_Sham_8	CPM_T9_SCI_1	CPM_T9_SCI_2	CPM_T9_SCI_3	CPM_T9_SCI_4	CPM_T9_SCI_5	CPM_T9_SCI_6	CPM_T9_SCI_7	CPM_T9_SCI_8
ENSMUSG00000025735.14	Rhbdl1	-1.7982949507591746	4.515346135143047	162.90757041904948	3.7475212369478874e-10	2.520415023719496e-6	45.84941928032434	30.759844485522965	29.090815432212285	41.7467109136441	33.48456586907555	30.22495193532396	28.899814323511603	42.05293920058384	11.22955228451685	8.298802156922076	12.910839200251187	7.930133268839427	12.467179542385969	9.806591642998253	10.360985622070253	8.185998185316917
ENSMUSG00000039960.6	Rhou	1.4503891011961083	6.187229778194414	161.44446975192352	4.0191596614885917e-10	2.520415023719496e-6	32.273227597319206	35.20110545402093	43.344146688155654	44.00838373966545	38.28612625784865	34.8882302339168	39.89162404484721	43.44147964588614	83.90620527195175	102.68627723839845	117.98640401675333	125.46884122381589	78.91459391191118	105.18050252392243	115.68407568579228	120.88817522154882
ENSMUSG00000021702.8	Thbs4	-1.5622866898356167	4.8529466168262525	150.36359885119916	6.962803429659368e-10	2.9109160204929266e-6	59.42561096332947	37.668472658742026	32.12841061790513	41.93518364914588	57.49236781294105	41.796790676276565	34.58097440420192	38.58158808732811	15.14096937238227	14.500104867589123	15.633004091870415	15.546201853764423	12.73243868158567	13.460027745291718	13.950618436015853	15.214380465639522
ENSMUSG00000093593.2	Gm20683	-1.6840692481113955	3.8561781566042423	108.37069261564301	8.307990073595549e-9	2.6049702875758844e-5	15.243443293198741	21.219357960601403	27.57201783936586	22.899437363466177	24.134158796201625	18.134971161194375	20.254570722461125	25.192090936198813	8.579882644349953	5.380542057784643	5.599882062759551	8.008649439818036	8.620922023990298	4.134151378911028	6.118692296498181	8.020624484603443
ENSMUSG00000056880.15	Gadl1	-1.8038207422615078	2.9215235846988317	102.43436844326531	1.2604619962487719e-8	3.161742871390419e-5	12.980744679364554	8.306802922561015	15.187975928464244	11.779545968861202	10.487618743899136	8.549343547420206	16.178955881965898	8.926331434086194	3.7852423430955673	3.2830426115296127	2.566612612098128	3.297679181101544	4.774664505594626	2.499719438411319	2.6106420465058906	3.720908266053144
ENSMUSG00000027750.17	Postn	-1.6253399719008657	1.9596997996672567	93.47972343104207	2.4635530732094072e-8	4.545152592929668e-5	5.239933632037067	5.345962276895703	5.023715114799711	5.842654800555156	4.296132979428561	6.908560442359763	5.187146160630288	6.942702226511484	2.649669640166897	2.0974994462550303	1.6332989349715359	1.648839590550772	1.0610365567988058	2.403576383087807	1.5500687151128725	1.4883633064212576
ENSMUSG00000023034.8	Nr4a1	-1.659999884063341	5.476271626458374	93.1042588989609	2.5367619319492642e-8	4.545152592929668e-5	56.32928654439847	71.55364893691171	75.47255730606078	64.55191190935939	52.69080742416795	75.99416486595739	77.80719240945432	64.368767785799335	35.581278025098335	17.783147479118735	19.132930381095136	17.195041444315194	29.709023590366563	14.998316630467915	19.49823278484087	17.033491173487725
ENSMUSG00000052276.9	Ostn	-3.032516650356707	3.4720274546194974	83.23159800886624	5.6940949163125e-8	8.926917305048922e-5	32.63049579950356	9.375995377940155	12.500872494966725	19.69540085993593	38.79155366719319	10.017412641421656	11.485823641395637	21.91910274370054	3.2805433640161583	2.735868842941344	2.3332841928164796	1.4132910776149474	3.7136279487958204	2.499719438411319	1.6316512790661817	1.7364238574914672
ENSMUSG00000032085.6	Tagln	-0.9257374448575182	4.681335729570537	77.04383361874451	9.858862799851205e-8	1.3738873026192648e-4	40.72857504901538	28.45696842778328	33.76403879481666	28.365146693017774	44.22489831764696	28.670525835793015	33.83995352411188	29.258530811726967	18.926211715477837	17.600756222922644	16.877422328039202	16.88097676040076	19.231287591978354	18.459466622114356	17.050755866241598	15.627814717423206
ENSMUSG00000021733.12	Slc4a7	0.8502571624213624	3.2478026907276822	72.33913666434768	1.534530163447961e-7	1.924607730996433e-4	7.14536404368691	6.990873746709765	5.724698619190369	6.973491213565832	7.202340583159647	6.476775414712277	5.928167040720329	6.545976384996542	9.084581623429361	11.308257884157555	13.610824458096133	11.620393304834012	10.477735998388207	13.748456911262256	12.971627668576144	12.65108810458069
ENSMUSG00000028033.17	Kcnq5	1.7448897916501978	3.9104868099055814	71.02729881978168	1.7433504855272023e-7	1.9877365263165612e-4	3.9299502240278006	7.155364893691171	8.41180205268789	7.0677275813167215	3.0325644560672202	8.117558519772722	9.633271441170535	6.942702226511484	15.645668351461678	25.808362751746678	28.310514872839956	21.513430848138643	16.313437060781638	26.247054103318852	27.330158924358543	21.167833691324553
ENSMUSG00000027204.14	Fbn1	-1.173973737408633	3.3720885440269948	69.56120521639211	2.0151584944721807e-7	2.1061764864725076e-4	12.266208274995861	13.241537332003203	19.16021578667797	11.119891394604975	13.393826347630222	13.126264840483548	19.63705332238609	11.108323562418374	5.551688769873499	7.842824016431853	6.688748019407242	5.496131968502573	6.100960201593134	7.114586093939908	5.792362040684945	5.374645273187875
ENSMUSG00000038764.15	Ptpn3	-1.426951103481805	5.670763881555568	67.40424498200971	2.5054129840097117e-7	2.3045244211064033e-4	55.019303136389205	90.79911313373624	78.51015249175363	68.69831209039853	58.25050892695785	86.96150456820351	88.92250561080493	64.66631216693554	39.745044602503455	24.805210842668185	20.61067703654557	24.889626200218796	42.30883270235238	22.112902724407824	20.885136372047125	25.219489358804644
ENSMUSG00000068373.16	D430041D05Rik	-1.3590249933302316	2.357124438171341	67.14652478403953	2.572424006975733e-7	2.3045244211064033e-4	4.763576029124606	9.622732098412264	7.477157380167013	6.879254845814942	4.296132979428561	8.290272530831714	7.657215760930425	7.736153909541368	2.9020191297066016	2.827064471039389	2.9554933109008745	3.0621306681657194	3.448368809596119	2.5958624937348316	1.9579815348794178	2.480605510702096
ENSMUSG00000015850.12	Adamtsl4	-1.0202742031789778	3.797640375002867	64.27869277170514	3.4702658821375323e-7	2.9016049795845954e-4	13.933459885189475	24.180198606266718	16.47311235318045	21.58012821495372	14.151967461647027	21.848322398962747	15.68494196190587	18.94365893233848	9.841630092048476	10.031519090784927	7.310957137491637	9.657489030368808	10.212476859188506	8.460588868469081	8.729334343004071	8.35137188603039
