Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Cast_1	CPM_Cast_2	CPM_Cast_3
ENSMUSG00000021091.9	Serpina3n	5.622780888798492	5.080184449540572	478.08551211481023	2.873840070470041e-9	3.944058112713084e-5	2.0334744837592043	1.0304700208641315	1.620226524632894	1.4548789192714702	66.68645149849924	64.80557489557458	97.67936378813953
ENSMUSG00000050503.10	Fbxl22	4.2070040322450835	4.329237476201038	381.6856556327328	7.966770930161282e-9	5.466798212276672e-5	2.4755341541416396	2.623014598563244	2.2873786230111444	1.939838559028627	35.06922802332842	39.91717094749572	54.9619040353622
ENSMUSG00000031762.8	Mt2	6.963217031714918	6.45873903304436	316.27060625012103	1.8592692249987766e-8	8.50553694796107e-5	1.6798267474532556	1.217828206475792	2.2873786230111444	1.2608950633686073	210.02309489586173	108.36028180471259	289.26348823971193
ENSMUSG00000031490.7	Eif4ebp1	2.3419512467039763	6.263348383934999	257.4176062375046	4.6814955166411224e-8	1.1312053202045002e-4	28.64546664078183	30.258346976283136	23.826860656366087	28.90359452952654	130.23471704412793	137.36484486728142	157.06031538413387
ENSMUSG00000027333.19	Smox	-2.866695271896403	7.68919735533572	256.3759682789181	4.767138458861355e-8	1.1312053202045002e-4	338.1756478425633	300.5225297211031	288.4956288272806	381.8572203447852	50.289429894750604	38.57702611952224	45.66349145986541
ENSMUSG00000044734.17	Serpinb1a	5.048485223644244	5.244168404351118	254.2776869669947	4.945520199087002e-8	1.1312053202045002e-4	3.0944176926770495	2.2482982273399235	1.8108414098838228	3.0067497664943716	99.7158586524618	49.202460112740525	104.58412560162724
ENSMUSG00000031765.9	Mt1	5.1673075406027795	6.174647622819733	192.14012905955076	1.7197370876643112e-7	2.8710291058358083e-4	2.9175938245240753	2.9977309697865646	4.670064688647753	7.468378452260214	133.21599369935495	123.48477343469898	229.4222191894851
ENSMUSG00000035606.9	Ky	-2.7123970461499844	7.971948551950867	191.6740609277639	1.7383130622532468e-7	2.8710291058358083e-4	393.2562827722148	443.57050443560576	405.6284758139763	333.5552402249724	54.60443557994761	74.56948721366706	51.18730091065559
ENSMUSG00000042834.16	Nrep	-2.181683908632347	6.156177584151976	188.24459410182916	1.882779215427155e-7	2.8710291058358083e-4	104.85655381471373	122.15753701880251	100.93058174036675	99.51371807816855	26.046943408825584	24.218331534092126	20.34603147707713
ENSMUSG00000004951.11	Hspb1	1.9541787460244193	7.193680559142901	176.32726164773413	2.512865445725576e-7	3.448656537713781e-4	66.13212668921237	55.27066475543978	65.38090564106855	75.16874416235929	242.50331950807194	247.9267931750933	270.9428535612579
