Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Unloading_1	CPM_Unloading_2	CPM_Unloading_3
ENSMUSG00000069763.4	Tmem100	1.6716028988034008	3.452080797117712	271.7259304760483	4.192810538622504e-8	6.658183135332536e-4	4.671651465554821	5.489048140539013	5.381859565859149	16.808469763353102	15.701561221054103	17.01063776458669
ENSMUSG00000019944.15	Rhobtb1	-1.4736408182686689	5.600987675546359	187.82633854976692	2.131299346461854e-7	0.001233134109691724	63.138077382953036	74.77464917277317	76.0561403925234	23.743671718557735	29.160042267671905	24.129777915560595
ENSMUSG00000047246.8	H2bc6	-1.6953876924421383	2.9324478620775722	184.04187927182363	2.3295984440019973e-7	0.001233134109691724	12.13921555064624	11.341609402968025	11.32432950316196	3.382192086528368	4.175580017027574	3.183077086733525
ENSMUSG00000060429.13	Sntb1	1.1388518469333804	4.501909236427653	169.70571989020112	3.3180146721736726e-7	0.001317251824852948	15.4306063559235	13.30458026117403	13.529396964173696	31.669616810220173	29.229060119193022	32.20726385608868
ENSMUSG00000031167.17	Rbm3	1.1727497051302276	6.600119557017034	159.36833193806663	4.360305943490412e-7	0.0013848331676525548	57.263121752028034	60.161421672795136	61.25602658641074	143.69191834281128	116.74369584796929	142.38280301947813
ENSMUSG00000034842.17	Art3	1.0886558414256902	7.247746211551213	145.0632932686306	6.5518274882648095e-07	0.0014585837105423993	89.57537772211555	98.62110996875722	103.26443041992243	211.30159651694905	186.90034191918465	221.65169046974526
ENSMUSG00000019970.16	Sgk1	0.8403039917327904	7.226693900331021	143.24150943181877	6.919273339519398e-7	0.0014585837105423993	107.90807059452007	105.49150797247825	108.45941986196704	181.8867744310811	200.32431404004188	194.06502238472137
ENSMUSG00000084843.3	B230312C02Rik	-1.924108859793314	2.891730021366097	137.47240502534942	8.260979714725168e-7	0.0014585837105423993	10.82973748833163	10.905393656700024	13.342526840359142	2.8355751836550964	3.83049075942199	2.566997650591553
ENSMUSG00000035963.9	Cimap1d	2.659509695931464	2.8531063399191186	137.45095654884628	8.26653236453501e-7	0.0014585837105423993	1.4156519592590366	2.3628352922850056	2.0555713619600917	9.565795800282253	11.802052610110996	15.504665809572979
ENSMUSG00000078532.10	Nkain1	-1.059813875863189	3.1260381587310433	122.09109417895783	1.3745960230868118e-6	0.0021828584846618573	11.431389571016721	12.032284334559028	11.735443775553978	5.534496141591875	5.9700441565766145	5.373581748571651
ENSMUSG00000051627.4	H1f4	-1.6803530139249148	2.4805656940946688	115.50016355890294	1.7420014768314802e-6	0.0025148166774621736	9.130955137220786	7.779180808446018	8.409155571654921	2.459776062929722	3.2093300957319375	2.224731297179346
ENSMUSG00000123782.1	Gm42146	3.152493874265582	0.9769397069655672	108.03269046225621	2.3144312201534637e-6	0.002826848098079981	0.4600868867591869	0.36351312189000085	0.2989921981032861	4.475425892274911	3.1403122442108202	2.498544379909111
ENSMUSG00000022040.9	Ephx2	-0.7141153821683223	4.6939398057098725	106.2186907455775	2.486659624122971e-6	0.002826848098079981	33.090864547679985	30.89861536065007	32.2911573951549	19.33657293914198	19.670087683518325	19.680315321201903
