Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Con_6	CPM_Con_7	CPM_Con_8	CPM_Cast_1	CPM_Cast_2	CPM_Cast_3	CPM_Cast_4	CPM_Cast_5	CPM_Cast_6	CPM_Cast_7	CPM_Cast_8
ENSMUSG00000034361.11	Cpne2	4.812317319521828	6.2311717560481705	1233.7362151534517	3.014396011445877e-18	4.676533972157134e-14	5.838669794950176	5.64738503139344	4.1456951205133645	5.484921269691635	4.629440275409928	5.67816590287263	5.3149098583313785	4.313089998701769	137.69997629223812	220.07601711447592	121.67600577660055	128.78611155541998	118.47079973590455	157.48590631584653	148.8923094532139	123.50147622346299
ENSMUSG00000031934.15	Panx1	2.7304505654844715	4.3149043581951885	891.9807753574632	5.581067088219966e-17	4.3292337403322273e-13	5.91549439751531	4.816887232659111	4.86878147874244	4.5622242336687435	4.388323594398995	5.463083861097152	4.783418872498241	6.35369171851766	38.45761901350373	40.713097638170815	29.25422071680185	30.312575895358545	35.92703356984351	32.83642021183067	35.5782535797185	30.660102538543974
ENSMUSG00000034457.11	Eda2r	3.7101313088698524	6.968653609169403	630.5158035998115	1.2403685063758022e-15	4.372426604668092e-12	19.359799846413743	18.893824921205994	15.618665337748025	17.89007030955496	16.395934308743495	18.15292432585038	19.222257320965152	16.324813758527128	258.32910978725954	336.2290363841664	256.88565429000977	291.6103669933375	156.1258673588837	192.649880850217	193.08800937736672	172.76675633053165
ENSMUSG00000037613.17	Tnfrsf23	3.3216262691651397	4.315441153929957	623.9668931895363	1.3611702888148112e-15	4.372426604668092e-12	3.879642429539262	3.9448645439880647	2.795933918485758	3.5370053047544188	3.327410197950886	3.0111485848566977	4.473382464095577	3.571053009677809	36.84215790133774	50.49711477809487	31.82149252401848	26.445887908706663	27.527984334835352	35.092357478292314	40.405453814152665	37.548631092840715
ENSMUSG00000036880.11	Acaa2	-1.3549409353663797	6.123962925845531	621.540918316318	1.409187380645898e-15	4.372426604668092e-12	100.33293095006488	94.63522416577683	103.83520104169521	102.31684910564957	105.12687292076711	106.03544659531086	90.7077949155222	99.52571115283868	42.99055467152172	38.84641015752741	35.40299516865403	38.779775866129086	38.37843071498943	39.67584906729376	35.97158100622795	43.60684593746776
ENSMUSG00000020722.6	Cacng1	1.9725976597693704	8.436325340446023	518.6781864531054	7.020336230564842e-15	1.777839012785267e-11	157.10631224569883	139.93887908673452	135.36176626048288	142.04408260107962	140.61924836557657	141.00778658800365	131.0568189233546	137.60148415213064	606.1354761006083	696.1456932123594	530.2525596880769	552.7952620917063	540.3924165701181	585.3620078547393	504.6390882116253	398.7965995183934
ENSMUSG00000020333.18	Acsl6	2.302823958346218	6.513883838409727	510.92128882836886	8.021704969380475e-15	1.777839012785267e-11	28.61716445551238	29.358097185258544	34.03326459398181	31.474221117669757	32.4060819278695	34.06899541723578	27.858985840753643	28.0118963356545	180.76286504340908	188.31014567663038	154.89206570207003	156.4174074600345	135.79132710570605	164.68342045170036	118.49882649566543	113.41470226895704
ENSMUSG00000068614.8	Actc1	-6.411319547557269	8.117246399262754	488.0713097121439	1.2020671486893617e-14	2.2506124054305545e-11	673.4060537846813	607.2184655446049	607.1033063691316	487.1840350200869	425.7638353291068	763.1541006277524	434.22813542567366	394.99556471981685	4.7740492568487385	6.887433118236012	6.972837007255046	2.7659519904517107	6.349520474312388	4.082172196454413	5.792640281321002	13.992323625915253
ENSMUSG00000010936.12	Vac14	1.695036670973793	5.5204764308233445	483.5257006731789	1.3056279263165521e-14	2.2506124054305545e-11	24.046100602886913	21.592942767092566	21.547973475226442	20.8632052034065	22.423851334016838	18.884203267887003	20.993893940408945	22.21473235890481	73.90131804162316	84.22622649730674	76.95476478916024	67.99161576528746	65.70548085759971	73.2284398399059	61.07302222528562	55.78478034595664
ENSMUSG00000025225.16	Nfkb2	3.5769389010388246	5.751474173556643	475.29790444172056	1.5192170745259585e-14	2.3377714975163246e-11	8.373881679599595	8.720226886710458	7.182657825075481	9.432014146011785	7.763957128552067	8.345183220888561	8.636728519788491	7.83776569656558	139.24310332475488	145.08667521966328	87.92113571875225	108.77529562449891	61.52604965931813	96.68302570549923	80.34606612424871	71.65299790853305
