Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Con_6	CPM_Con_7	CPM_Con_8	CPM_Con_9	CPM_Con_10	CPM_Unloading_1	CPM_Unloading_2	CPM_Unloading_3	CPM_Unloading_4	CPM_Unloading_5	CPM_Unloading_6	CPM_Unloading_7	CPM_Unloading_8	CPM_Unloading_9	CPM_Unloading_10
ENSMUSG00000028974.14	Dffa	-1.7478128264680963	5.943583952831855	1088.549300603807	1.3361275644906613e-20	2.590751347547392e-16	85.16772434929082	98.9752627850538	94.19359967413894	95.15968542471941	104.12266626493007	82.0458103124518	101.38242702889389	107.20004239545021	95.34623219419368	84.24065105531209	26.295093253458706	29.98930463023747	29.23842027752739	24.968629192493893	28.44038177851351	27.963239854258298	25.81897513217743	28.998948530054587	30.61771975112274	29.99505393302119
ENSMUSG00000046598.16	Bdh1	-4.27719282151247	6.430838302075215	994.7909582040123	3.6168850903734436e-20	3.5065700951170536e-16	152.5276517891845	177.42005310385804	173.2276885162174	200.49845837156815	201.56291651554267	134.595176304188	162.44422978106445	137.4604054087367	127.51122618741564	172.79866798749413	6.798564560944286	10.03698836508962	9.398063660633804	9.06755481201094	7.501110794557435	9.132584906901345	7.513089160084063	7.121908014308117	5.031796572644673	13.067822593844445
ENSMUSG00000028773.9	Fabp3	-3.6167418744722952	9.309475254028388	812.5670568077602	3.3632573584804513e-19	2.1737853393645317e-15	1030.9320756869793	1188.0300067136407	1115.6648261115593	1410.2471090306065	1613.5658083107182	951.9727108312424	1106.4511998466398	866.595966669255	1011.0042430142267	1438.4110673865669	113.09741109932156	90.60663133212721	90.86925952141165	68.72943719828582	121.26263790861147	79.56375829108478	84.13264239016736	91.48912602995811	93.68290346160265	123.12868076117162
ENSMUSG00000036856.5	Wnt4	2.438597241586098	3.2486151586036858	733.7972290990351	1.0302274534549084e-18	4.202279355774206e-15	2.787307342340427	2.430971366650444	2.463942531932697	2.5764495387962203	2.320671670244145	3.157582812400367	3.8535522850557764	3.4539085551792086	3.394033457076993	3.01695446817419	17.435028470808735	15.268388361439362	14.619210138763695	14.560653234359595	17.52387160090226	16.28597184636277	16.398538259626207	18.845664284015324	15.430842822776997	12.898550280452678
ENSMUSG00000001334.11	Fndc5	-1.6502200238735618	6.892965944676611	724.587965708081	1.1831917008532355e-18	4.202279355774206e-15	168.47724380368803	191.35217471777068	184.81657076386693	194.20516359647573	206.7075380495779	161.7041799618692	179.24685114163853	169.75702794336019	164.3234352218661	181.32936682853838	49.015457399066065	57.11958833223729	57.262124843816395	52.01359702310043	61.9240635806018	66.50105170598131	54.498971833055606	48.721155338907835	65.1998852867534	61.91981223870852
ENSMUSG00000029862.17	Clcn1	1.0009222269057276	7.106728563961184	711.6043322886068	1.4424158563045846e-18	4.202279355774206e-15	90.3397279734114	91.17164041479775	94.40240836328577	87.3036261752752	91.20519263055905	88.36097593725255	92.85360910388073	102.27693393247088	96.70384557702447	83.4083877537468	173.4072580109241	179.02337429368941	174.1518735480713	190.3923682846587	185.22955719496508	183.35855455496974	183.15190107276135	203.68656920921214	186.9998580815584	177.90520137474758
ENSMUSG00000033576.13	Apol6	-1.7324523672412173	6.25882480952432	708.3334395651065	1.5170683594852727e-18	4.202279355774206e-15	118.33668172314191	124.46981963866517	114.28099557006482	119.86825887055201	120.25552835807311	107.79422950625317	107.33276511611236	133.41366180304166	113.98730825844731	116.75093627270637	28.334662621741995	34.855723231493045	32.81863500538788	40.422896524269056	33.16448559806457	34.74906145690945	35.49527572225474	36.85130864839431	31.86804496008293	45.703524615777205
ENSMUSG00000031700.12	Gpt2	2.0458188964934445	6.208560865823635	697.0246361148953	1.8094103074025005e-18	4.345702539276588e-15	32.766346313290796	25.18813189142855	26.20549048792826	23.737125259073373	25.862907168383543	30.6773289497434	30.205049528451895	30.59544369401284	35.19351615492143	27.906828830611257	117.37392751668975	120.38303014855974	133.149890593288	110.57160317139137	135.65838671008126	128.50649660020625	122.90762576434733	129.1074093875856	97.86081940373792	93.7430071563608
ENSMUSG00000072946.13	Ptgr2	-1.1515095875602477	6.268585399586551	690.1394056958745	2.0170873054919696e-18	4.345702539276588e-15	100.52888481374474	109.29156984520904	114.88654076859066	109.1400919385153	116.76054090288615	102.78830553537455	103.16752845505943	100.0344709153023	96.59941377834518	109.28657478679264	44.95824951592189	42.2161813658921	46.031332215349245	47.28269886031212	50.75219643977158	51.26122735669393	45.35765901598738	47.58895457765885	51.720769619426456	51.28951095770553
ENSMUSG00000022510.15	Trp63	2.27001441581981	3.914613811510376	667.8263986241087	2.8896456903012015e-18	5.603022993494029e-15	6.070135989985819	5.556505980915301	4.823480719291974	4.603819667685049	3.6907067526774355	5.05726678083636	6.092012803580823	5.000434773916167	6.057044323398941	4.681481071304778	29.891753214732457	27.586510445867532	24.294314224767657	20.81595191626859	21.322306428784536	21.573257845095128	26.02831817378968	24.835371537074458	23.329238654988938	28.84400220195717
