Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Unloading_1	CPM_Unloading_2	CPM_Unloading_3	CPM_Unloading_4
ENSMUSG00000022951.19	Rcan1	-2.3574841530474235	7.015967312061018	100.54711331518409	8.270293810836844e-7	0.010737548392758893	242.07854820419757	187.6561729040543	288.6628594066365	59.80966793614741	40.193309246352115	50.648889464772616	36.27794637654338
ENSMUSG00000053025.14	Sv2b	2.5878705098592705	3.8171575427631055	90.9902205211092	1.3491430316943216e-6	0.010737548392758893	3.8362174305583223	3.978576103972882	3.058569816164247	15.41286418451773	23.951053145908304	17.956902813048476	29.822109969562224
ENSMUSG00000133756.1	Gm71636	-2.7666054558949877	2.4552362481173593	86.5611750712479	1.7198422412320704e-6	0.010737548392758893	11.640935651349391	8.56924083932621	11.366306749259026	2.084129433755542	1.4700496691350906	1.7056688687856072	0.9153797890495675
ENSMUSG00000101968.8	Teshl	-1.7571638504591223	2.555877686253828	65.81702763949086	6.371746603673033e-6	0.027069255644764048	8.995268457860893	9.589388558293614	10.498334233861064	3.198896340182925	2.724970118396753	2.984920520374813	2.5534278326119515
ENSMUSG00000043822.19	Adamtsl5	-1.6482484004478934	5.9498636564207	64.0761465954655	7.226176093103056e-6	0.027069255644764048	74.25505923057719	97.93418102087095	130.93985375146397	35.81794538477548	31.839124541267328	31.507494381734134	29.77393208592804
ENSMUSG00000046598.16	Bdh1	-2.649157597130553	6.533063103259174	58.93827249906058	1.0667194540063039e-5	0.03329942562256345	135.19359358726226	150.93085502122767	247.95081523201782	35.13939161564576	24.668150545486398	39.70418089006497	14.01976413754864
ENSMUSG00000061877.14	BC048679	-1.7879643496944417	2.9300908394692007	54.35082453555138	1.5492881261686103e-5	0.0348100068879913	9.87715752235706	15.81228964399479	12.399607362828029	4.071322614778268	4.015745437637321	3.8377549547676164	2.7461393671487024
ENSMUSG00000034509.10	Mad2l1bp	-1.5285953857255696	3.7194576477600982	53.60481519525486	1.6503767913187212e-5	0.0348100068879913	21.51809317370645	18.974747572793746	22.153965154919412	8.384985861388575	7.9956360052957365	7.485991146336832	5.058677781589715
ENSMUSG00000097047.4	1110020A21Rik	-2.5568927486011326	1.2773460187202574	51.32064660885427	2.012293842508881e-5	0.0348100068879913	4.4535397757056385	5.763834612165843	3.1825658897925275	0.6785537691297113	1.111500969346044	0.6159359803948026	0.5781346036102532
ENSMUSG00000002504.16	Nherf2	-1.3573062233553643	5.093125767300146	50.47713708378883	2.1692402284276398e-5	0.0348100068879913	47.930670655366626	41.62202693387015	67.16453988198515	20.59895370572338	20.007017448228794	19.28353415543728	21.680047635384494
ENSMUSG00000045761.17	Togaram2	-1.2539949066286027	4.018766033400617	50.42924390375883	2.1785786751394734e-5	0.0348100068879913	20.459826296311054	24.73858218495959	27.19647214913614	9.548220894182366	10.935735343565918	10.518291357511245	9.442865192300802
ENSMUSG00000032786.17	Alas1	-1.2523243760026326	6.472687032005163	50.11042239216999	2.2419732364586724e-5	0.0348100068879913	133.7825710840684	115.88878087469729	148.50596418213703	51.90936333842292	48.941897521204844	60.266966697091455	61.764046819028714
ENSMUSG00000030889.15	Vwa3a	-1.8259257938377549	2.318539000320594	49.0667798495243	2.465346594378973e-5	0.0348100068879913	8.686607285287236	7.6001005063071725	8.63839312943686	3.005023834717293	1.936162978860851	2.6532626847776113	1.7825816944649473
ENSMUSG00000001983.8	Taco1	-1.3055257520542285	4.29303310705184	47.18844525995093	2.9376251902938322e-5	0.0348100068879913	27.0739942800323	26.98290716668788	34.67756859137572	14.007288519891897	12.692623972532246	11.323746101104447	9.828288261374304
ENSMUSG00000033590.9	Myo5c	1.2425945424299256	4.637234560144135	47.06946714550562	2.970997375998167e-5	0.0348100068879913	14.242508391613082	15.302215784511086	12.234279264656989	31.601218390897984	30.01052617234319	31.317975618535733	38.879552092789524
ENSMUSG00000023951.19	Vegfa	-1.5758372106118814	7.513783344306824	46.69319156965594	3.079537124455771e-5	0.0348100068879913	340.85012342776815	263.0960967216939	279.5698140072293	131.7363674638968	97.2025525128105	93.90654716480759	72.31500333491583
ENSMUSG00000034880.8	Mrpl34	-1.4080906839876122	4.015968723263265	46.42597732317956	3.1594774004049766e-5	0.0348100068879913	23.3700602091484	21.32108732641878	30.25504196530039	11.971627212502764	8.927862624747258	8.670483416326837	8.093884450543545
ENSMUSG00000028339.18	Col15a1	-1.7818252436204547	5.663023395635636	45.736986441189124	3.377218166856707e-5	0.03512382059145042	50.39996003595589	117.16396552340655	87.6238920306514	27.190618891554863	23.98690801588721	19.757331063433284	27.99135039146309
ENSMUSG00000112041.3	9530020I12Rik	-1.7719711181665228	3.3852323172411642	45.06805255407507	3.60584480010789e-5	0.03512382059145042	21.87084879950492	16.526393047271974	13.763564172739112	6.640133312197889	3.872325957721702	6.064600422348826	3.806052807100833
ENSMUSG00000120158.2	Gm53533	1.351425800220846	3.4650326704520964	44.670155410884554	3.750541440624712e-5	0.03512382059145042	5.820467825674696	5.2537607526821395	6.323799755042295	14.831246668120833	16.242256100443807	11.84492269990005	16.332302551989653
ENSMUSG00000025902.14	Sox17	-1.3677673776402368	3.530973052483117	41.832488738206976	5.008528143869779e-5	0.04420463100806599	14.815736283535589	15.251208398562715	22.856609572146333	6.15545204853381	6.3821668562450276	7.15433331073963	7.660283497835854
ENSMUSG00000055435.7	Maf	1.209125882960562	5.9616873227402465	40.568265369763594	5.7269304338608334e-5	0.04420463100806599	43.0361863474129	29.584283850054767	34.05758822323432	91.12007756884695	72.89295066711315	86.46793570927036	78.48177244009186
ENSMUSG00000004748.6	Mtfp1	-1.5964799894344701	4.743453651934486	39.515910431829845	6.419601999801001e-5	0.04420463100806599	29.675567020295986	40.65288660085112	59.3527872434035	18.127079261036574	12.87189832242677	15.066741674272864	11.129091119497373
ENSMUSG00000020908.16	Myh3	-2.6499438007989107	5.143539245989791	38.90959915354754	6.863756204682897e-5	0.04420463100806599	32.67398983958295	49.68119391371266	121.1854959593726	12.747117234365291	12.87189832242677	11.987061772298851	5.588634501565781
ENSMUSG00000073838.11	Tufm	-1.2669230127897813	5.855664525899121	38.87984974585645	6.886471286730914e-5	0.04420463100806599	69.22829156294904	79.21447037781905	111.9684544863371	41.05250303234754	32.55622194084542	38.80396676487256	31.893758965832298
ENSMUSG00000026043.19	Col3a1	-2.7344057653779217	8.41881488562668	38.48557895536031	7.196098484617311e-5	0.04420463100806599	240.6675257010037	927.7733430149071	826.8471509779157	113.27001131829539	102.47321839970948	53.87070843914543	130.12846369594115
