Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Control_1	CPM_Control_2	CPM_Control_3	CPM_Control_4	CPM_Cachexia_1	CPM_Cachexia_2	CPM_Cachexia_3	CPM_Cachexia_4
ENSMUSG00000030403.10	Vasp	-1.1417850858595768	3.721702148636369	92.65713170834852	4.558961889605873e-6	0.03154272832218474	17.066900759240646	17.413899670974526	16.497245722054448	21.367207155942175	7.880817701538655	9.218826848224527	8.203765621409621	7.465522304283198
ENSMUSG00000127364.1	Gm66826	2.450241227976288	1.9349878792398032	77.95132837561054	9.332848155640735e-6	0.03154272832218474	1.2417542007569338	1.2602164235573672	1.4570920622772643	0.6919432369152259	7.148399699536921	4.113015055361712	6.49946220006044	7.760920668841166
ENSMUSG00000022358.8	Fbxo32	2.394745109356735	10.02663687943805	75.68175527765965	1.0537225361941633e-5	0.03154272832218474	253.60663700110211	377.17704731424925	440.4369464178429	261.9420317666279	1629.454274133377	1115.0762023366556	1921.9631888045394	2344.576819496594
ENSMUSG00000029860.17	Zyx	-0.795304608462686	3.5616989503993053	74.4142646385303	1.1292477049407767e-5	0.03154272832218474	15.27646446977716	15.4949337532849	13.533668646236285	15.361139859518014	9.169873385061706	8.344220198521175	8.348198114744298	8.512843778625085
ENSMUSG00000003526.13	Prodh	1.6391441221490552	3.1266626842498	72.23084755331726	1.2754866855183592e-5	0.03154272832218474	4.245066686308587	4.1529859412685965	4.865205699468153	3.5981048319591746	10.810489709545589	9.85705332233238	15.800914770813602	16.11263806679827
ENSMUSG00000107451.2	Gm44421	2.068957652666814	3.0195488277930123	65.16052853938402	1.9380627417507174e-5	0.03154272832218474	3.754140606939567	3.093258494186265	3.6056854422454334	1.9374410633626324	14.589766599874535	8.533324338997575	12.883378405453138	16.058929273242274
ENSMUSG00000085088.3	4931413K12Rik	2.1135033130754852	0.9481798957369798	61.86052753625646	2.3892591653422867e-5	0.03154272832218474	0.4909260793690203	0.8019559059001428	0.5186259882681787	0.9963982611579253	3.427716249368114	3.45115056369431	2.397579389355629	2.9002748520236885
ENSMUSG00000020782.19	Llgl2	1.1695616177106094	2.9245066248849954	60.73298713512997	2.5722090741946586e-5	0.03154272832218474	4.042920653627226	4.353474917743632	5.112170455786334	5.0373467647428445	10.37103890834455	8.438772268759376	12.50785392278298	10.446360346640878
ENSMUSG00000050105.6	Fam110d	1.5937187321415336	1.4482494733941382	57.686564843146236	3.1592172987284685e-5	0.03154272832218474	1.0396081680755724	1.4893466823859793	1.4570920622772643	1.3285310148772336	4.013650650969501	2.954752194943759	4.015223314704005	5.102335387819451
ENSMUSG00000111409.2	Gm49380	-2.969500283811839	-0.8992311958168988	57.4664298319747	3.2076706186095585e-5	0.03154272832218474	0.6064380980440839	1.0597274470823315	0.6174118907954509	1.1624646380175794	0.08789016024020804	0.14182810535730042	0.05777299733387058	0.13427198388998557
