Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_LLC_1	CPM_LLC_2	CPM_LLC_3
ENSMUSG00000050105.6	Fam110d	2.375590010527834	4.084553591131685	236.62514870052414	4.2065124450197854e-6	0.06885640221252887	5.6942102986162615	5.443604352917786	5.192244178583097	25.02705856334721	30.8321022497378	28.947799849326834
ENSMUSG00000053113.4	Socs3	1.8454070245036394	4.298820975468073	171.50789690217192	1.0924488545023239e-5	0.08941147649674269	8.317385829439484	8.599979986122216	8.636604178237231	28.6534282735465	34.24067636779927	28.995333182412757
ENSMUSG00000085412.10	Halr1	3.1525481495786254	1.7130330603457817	132.80538136697766	2.3171605620389252e-5	0.12643200413338387	0.7037788009525717	0.6404240415197395	0.5654919402417236	4.545731045179391	6.662213048938319	5.894133302654397
ENSMUSG00000041378.3	Cldn5	1.714240335042653	4.999114383830211	119.04761492755652	3.189085621319106e-5	0.12711532894844127	12.604038526150601	15.278687847685214	16.759124774436533	44.333646597929345	49.01116421273228	53.237333056233254
ENSMUSG00000001227.13	Sema6b	1.507756243171187	3.9278402051955976	98.14908307188291	5.583354656371805e-5	0.12711532894844127	8.509325502426549	7.776577647025408	7.299986864938613	20.277024999283352	23.75672870164052	23.05366654667244
ENSMUSG00000021904.7	Sema3g	1.6980990900341273	5.077487200995312	96.58280001513671	5.84874859458475e-5	0.12711532894844127	16.634771658878968	17.154215397850166	13.777439998616536	42.44384829824802	53.607574765875775	58.32339969642697
ENSMUSG00000138479.1	Gm69738	4.365521318600831	0.38327568908309606	92.65721811788625	6.591809609158734e-5	0.12711532894844127	0.06397989099568833	0.09148914878853422	0.15422507461137913	1.838722669960203	2.014157433399957	2.994599984413121
ENSMUSG00000035828.12	Pim3	1.188676140374406	5.685931624835065	89.40089781788359	7.306278314402768e-5	0.12711532894844127	28.726971057064063	33.988218774940464	31.256281787906172	65.5300329321928	72.19979722802923	76.5286662683353
ENSMUSG00000048120.17	Entpd1	1.1468797305999705	5.576802301816264	84.26865401607698	8.65673083399173e-5	0.12711532894844127	32.11790527983555	28.453125273234143	28.32600537028997	63.282705224463655	61.35433412510638	72.20313295751636
ENSMUSG00000037936.16	Scarb1	1.2205366971724911	6.599981094504592	84.07425684440916	8.714174196102652e-5	0.12711532894844127	62.31641382980044	54.52753267796639	57.731586262859594	120.48741051211442	137.11764065838167	149.2071325567109
