Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_C26_1	CPM_C26_2	CPM_C26_3	CPM_C26_4
ENSMUSG00000117545.4	Gm30794	-4.051740781195043	1.616329117369622	389.3712022411305	4.362077396907423e-9	6.875070185265789e-5	5.704647467327654	5.857562113816521	5.659295183062567	5.14317127777667	0.2520273974974415	0.3738751655505827	0.29369360545440815	0.4147366401126109
ENSMUSG00000071042.13	Rasgrp3	-2.1863363235566595	4.6881407872730225	210.79769031505126	7.574100240324345e-8	4.780808818730547e-4	35.99599191372245	45.39610638207804	44.10858904851386	42.95243040089165	7.8128493224206865	11.454175526413305	9.72860068067727	7.993106154897593
ENSMUSG00000048572.6	Tmem252	2.2636045355668584	3.8015496133083135	202.55467912206734	9.099946993332682e-8	4.780808818730547e-4	4.2701454726195305	5.463303125386563	4.705481388164381	4.726157390389373	25.706794544739033	19.271565351561854	19.347066259309138	27.82505821846426
ENSMUSG00000021903.12	Galnt15	2.024490217485269	5.8749794411288425	180.85788813222516	1.5300516302627692e-7	5.917161239270215e-4	28.35643477911407	21.064694524686335	20.729553142453895	22.44924760434952	93.97021535261747	83.44213922060732	113.76956041290136	85.47345119411717
ENSMUSG00000022146.13	Osmr	1.784114995872811	4.32964487816844	166.22786258001912	2.248871825945251e-7	5.917161239270215e-4	10.508561124024625	7.885179768599163	9.559333811090703	8.166521961334578	26.678900220800593	29.162262912945447	33.51778272248433	35.101801085894614
ENSMUSG00000042292.19	Mrtfa	-2.0319313833600314	4.508258168476068	166.1677111580267	2.2525834297075875e-7	5.917161239270215e-4	34.86173452255789	29.51310141961401	35.79981110184523	45.55876719706226	7.7768454084924805	10.332550029761558	8.186709252041627	9.312722737074083
ENSMUSG00000058624.14	Gda	1.5358520621147502	4.665877767914195	151.27055850732535	3.452210253908275e-7	7.772897973121188e-4	14.511822504605435	12.36283542291083	11.318590366125134	13.830960598345369	38.02013310818546	34.022640065103026	43.50336530793421	35.2149110786526
ENSMUSG00000004939.8	Nmrk2	-3.913387186049674	6.641732286914729	144.07913857538057	4.304083700553214e-7	8.4795829005524e-4	226.28434953733029	129.9928207566205	177.83328309323946	214.2756358025064	6.120665367795008	17.606121432291076	12.224996327039738	13.68630912371616
ENSMUSG00000049588.14	Ccdc69	-2.826863701670862	0.7728548691143348	135.81378861725	5.619555405364782e-7	9.32937819339481e-4	3.102527569950128	3.5483308958696234	2.5011117288441307	2.1893229087833124	0.4320469671384711	0.407863816964272	0.3671170068180102	0.37703330919328265
ENSMUSG00000026473.18	Glul	2.271530938037711	10.010864495218996	128.4503601069834	7.221175987711029e-7	9.32937819339481e-4	470.6834568217887	360.1837472870832	293.8170405528588	291.4579561264387	1872.3835438363492	1309.4467843637954	1911.357984297288	1744.3823083136415
