Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3	CPM_Sham_4	CPM_334P_1	CPM_334P_2	CPM_334P_3	CPM_334P_4
ENSMUSG00000021903.12	Galnt15	2.5026668948839728	6.0829888731833375	812.4476660482135	6.381948625062749e-11	1.0484265201253084e-6	21.05760935361304	19.528053256620144	20.750029845064013	19.942094981162292	106.77851706542141	107.54724297167486	123.74816235927474	122.58211796984473
ENSMUSG00000041417.16	Pik3r1	2.0170270579750955	6.203209547802181	262.47375480736605	1.6306348161259908e-8	1.0025574800514644e-4	28.431094016865554	27.426153663746593	32.831280643450086	28.03066700153628	107.66648810130849	98.64331134240885	126.01716956755482	140.03086919326384
ENSMUSG00000059824.13	Dbp	-2.970329395452374	6.175238856903	251.0071026218521	2.0238184232400792e-8	1.0025574800514644e-4	142.73117759557272	102.28040027228751	131.2425627733558	136.19406401872956	21.555496896158875	13.279328007283693	17.802979634197495	12.738516518161036
ENSMUSG00000030403.10	Vasp	-1.4989137647799309	4.085577324101235	238.32565968625678	2.599363090356346e-8	1.0025574800514644e-4	24.091145085942152	26.399400610820155	24.410180998105808	25.16444628560796	9.012906014253865	8.5320229371345	7.7794532855316785	10.070156956069017
ENSMUSG00000040170.14	Fmo2	1.6780407400198036	6.3442677730417	230.52900794614501	3.051368030348991e-8	1.0025574800514644e-4	44.15233759316972	37.25928867061902	39.656224146866364	33.59307839092259	122.25141236575378	110.98192912841874	121.65369416701621	140.05407231989074
ENSMUSG00000036840.6	Siah1a	1.5626483935059443	4.361565743248714	211.03098678846285	4.667152354796417e-8	1.108299653278122e-4	10.429162992167972	10.622945047585073	11.751011596607869	8.695822172053715	27.527102112499488	31.262207120936406	30.79366925522956	32.994846063433506
ENSMUSG00000071342.6	Lsmem1	-1.5351708564180702	4.391240825429536	207.56072672973494	5.0536667446660214e-8	1.108299653278122e-4	34.09959874296959	26.53761736794487	29.969207561372293	33.95742848193043	9.989674153729654	10.238427524561398	11.868653089464996	10.882266388010066
ENSMUSG00000074141.14	Il4i1	-2.5066673814784455	1.2864465307945163	204.4021109666681	5.439294800795382e-8	1.108299653278122e-4	4.78280086265028	3.3172021709931085	3.9903903548200024	4.226461055690912	0.6881775528124873	0.6125554929224768	0.8228267898158506	0.7425000520603883
ENSMUSG00000037465.11	Klf10	2.171508221985244	5.9432345516592084	195.7207536935297	6.69596470914579e-8	1.108299653278122e-4	25.26470270501838	16.64524660801899	21.46554811558346	25.99030649189239	83.69127013235732	115.29169456076617	100.18539519636629	103.3235228695284
ENSMUSG00000021559.15	Dapk1	1.6561212049327731	4.268409095310588	191.21188423227065	7.485463408459096e-8	1.108299653278122e-4	9.609886918473249	8.865617706999439	9.604456785049523	8.963012238792796	29.347442736068004	23.058338912153236	34.035108124201095	30.326486501341485
ENSMUSG00000000318.17	Clec10a	2.6578495581769257	2.1420984552283424	186.34486500976064	8.466569133792581e-8	1.108299653278122e-4	1.3728409883533212	1.4216580732827608	0.7980780709640004	1.1416302851578901	6.637583493255925	6.825618349707599	7.530111834072329	9.188438144247305
ENSMUSG00000023067.15	Cdkn1a	2.6361983356240457	6.855941633177344	185.21724164770913	8.71545535276529e-8	1.108299653278122e-4	29.848220198391566	34.455463026089134	33.18903977870981	30.84830770533022	153.19720296641853	146.7070405549332	256.9463657288588	241.150095033238
ENSMUSG00000044098.15	Rsbn1	1.1949498398743383	4.14926679028081	179.39916713593533	1.0148316650985023e-7	1.108299653278122e-4	11.27058166244904	11.452245590333352	10.017255787272282	10.27467256642101	23.50903317511045	25.464806920062966	26.604732870712503	22.97109536061826
ENSMUSG00000070436.13	Serpinh1	-1.7395948483449877	4.748966205186007	177.87502325433698	1.0569353116697173e-7	1.108299653278122e-4	31.1767759935722	43.40006173715984	43.83925403605699	46.87971170967506	12.076406088064292	11.244768691505467	13.389635943367024	12.784922771414811
ENSMUSG00000039242.11	B3galnt2	-1.6829689741644027	5.431378525028626	176.50985110204985	1.096437840590675e-7	1.108299653278122e-4	59.962151555819254	72.07016621502885	63.29584700748969	67.64766689712178	22.421268656148776	24.37095782555854	18.052321085656843	17.031094944135155
ENSMUSG00002076083.1	Klhl17	-1.2583711612343396	2.949868772735524	175.87792243539678	1.1153218784917378e-7	1.108299653278122e-4	11.447722435139791	10.22804002722875	10.842853791717799	10.833342705966361	4.684047214304348	4.616043178808664	4.61281685199795	4.1997659194665715
ENSMUSG00000004939.8	Nmrk2	-4.135545973125262	4.052169473071427	173.01212710220568	1.2060180388748937e-7	1.108299653278122e-4	21.7440298477897	31.552911126470164	32.85880057693161	39.179779786376095	2.353123245100763	2.581483863030438	1.122036531567069	1.0209375715830338
ENSMUSG00000021215.16	Net1	1.3459592377236376	7.187518627704047	172.76179748517447	1.2143531628321278e-7	1.108299653278122e-4	86.24541370380945	78.80329681210414	82.72492004544087	81.34723031901646	177.92719631587372	200.59004695022108	226.65137937654794	231.47439122982604
