Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_C26_1	CPM_C26_2	CPM_C26_3
ENSMUSG00000135102.1	Gm61113	5.215185800260569	5.835699839508961	1390.3185372885705	4.699889392401121e-11	5.570335749867964e-7	2.627178255625272	3.2551750017622005	3.124804254996562	109.51871801468646	109.16515908008884	114.51961145258434
ENSMUSG00000031765.9	Mt1	7.083016565119707	8.956913220270222	1150.2153197962302	1.0834060392204584e-10	5.570335749867964e-7	7.378803125367275	7.750416670862382	6.685032053722153	1213.4314832268944	888.7532953902086	857.0432888557401
ENSMUSG00000130275.1	Gm65126	5.160363573320937	4.466243068509275	1059.1278072061757	1.557719508289374e-10	5.570335749867964e-7	1.0054632830170793	1.4209097229914367	1.20381803266261	43.080822726156285	41.16156899727416	44.283226455795095
ENSMUSG00000042834.16	Nrep	-6.929901425185284	6.491136540477108	1028.8575061790284	1.769665438102387e-10	5.570335749867964e-7	199.6168959783424	163.19794036612555	172.55578906485113	1.6693643452987945	0.9983748544037391	1.6112441550817465
ENSMUSG00000121137.2	Gm56555	3.973021196792277	6.43909094263816	1011.2957124999231	1.9088846591896365e-10	5.570335749867964e-7	9.924895632362137	11.393112506167702	9.835449458349835	163.70993201375572	157.68617700411056	167.60404254043888
ENSMUSG00000123342.1	ENSMUSG00000123342	4.541573512541791	6.633148191157898	1003.4447623337704	1.9754502743317348e-10	5.570335749867964e-7	7.135545879476046	8.189606948877916	9.22073386720297	193.59015096742323	181.96094846404148	194.99519317682856
ENSMUSG00000031762.8	Mt2	7.829793116338464	8.297618323606011	899.1222110342095	3.200705152191841e-10	5.570335749867964e-7	2.6758297048035176	3.4876875018880718	2.1002782697517874	735.5724323171621	506.3472011577364	637.117124290066
ENSMUSG00000123750.1	Gm67682	4.142856922970316	4.061136440775048	892.6070959728481	3.304631869116756e-10	5.570335749867964e-7	1.719017870964684	1.8342652787707636	1.792920474178355	28.295024239224105	34.344094991488625	31.809078158388026
ENSMUSG00000029416.18	Slc15a4	3.2881292263064736	5.70106754014435	880.5086591113953	3.5088237162396466e-10	5.570335749867964e-7	9.795158434553482	9.79135972752281	9.348799615358566	96.27602942676997	95.04528613923597	91.4597623083499
ENSMUSG00000021091.9	Serpina3n	6.061200738408512	6.3378376630653275	875.5403192774878	3.5971399928389173e-10	5.570335749867964e-7	2.8380012020643366	1.8859347232431796	2.3564097660629812	133.70345861380514	177.56809910466504	166.6165058002275
ENSMUSG00000031250.9	Tnmd	-5.507233784623995	2.6453020379644916	847.2123148816823	4.1561940637177575e-10	5.570335749867964e-7	13.606188620182735	12.168154173253939	10.885588593225728	0.28056543618467134	0.22819996672085466	0.2772032954979349
ENSMUSG00000121353.2	Gm61426	4.269318239427169	4.233517791848293	842.0228840429455	4.2698618666131187e-10	5.570335749867964e-7	1.5892806731560285	1.9376041677155955	2.0490519704895487	34.13078531186527	34.515244966529266	38.20207916080915
ENSMUSG00000135122.1	Gm59199	3.6550032460351742	4.313134884073028	837.9961888735834	4.360694982035068e-10	5.570335749867964e-7	2.9677383998729923	2.6093069458570017	3.150417404627681	36.76810041200118	36.511994675336744	36.8333878892881
ENSMUSG00000143161.1	Urml	3.9612737343296875	4.232539594041455	821.0895506022215	4.768920465136538e-10	5.570335749867964e-7	2.10822946439065	2.557637501384586	2.125891419382907	37.39937264341669	33.14604516620414	34.97959085064566
ENSMUSG00000038522.8	Mfsd4b1	3.6653497041243086	5.237113175941686	805.570645556158	5.185592568577881e-10	5.570335749867964e-7	5.724653853306919	5.7353083364381625	5.020177327699394	71.65641240156506	63.69631571095856	73.97862948601137
