Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_LLC_1	CPM_LLC_2	CPM_LLC_3	CPM_LLC_4
ENSMUSG00000040170.14	Fmo2	1.6273234495942357	4.668015620546018	243.95272047923908	2.69939225044986e-8	4.6345865547973644e-4	12.29049081496105	13.391646942401241	13.524329387357907	10.452248646373066	42.854976005272604	35.79225928068352	35.01893074101724	39.79078839058778
ENSMUSG00000025491.15	Ifitm1	1.9132982852838336	0.6898083432262735	123.59827305770546	6.579340728075607e-7	0.003192702131971264	0.6599756972572802	0.7267536329088952	0.5454875552620018	0.7214515058944372	2.035374187410814	2.537172809769971	2.838464889799479	2.6584362933366834
ENSMUSG00000064057.13	Scgb3a1	3.0934089623951064	-0.8800372329126376	120.45401259232312	7.408290604585182e-7	0.003192702131971264	0.13697608811000156	0.1259706297042085	0.07523966279475887	0.070385512770189	1.1125562295593008	0.8457242699233236	0.7222129601264946	0.9776185078721997
ENSMUSG00000070803.7	Cited4	-2.018545538366158	2.641732189650657	120.34823793110434	7.438294908197948e-7	0.003192702131971264	10.621873014348303	10.794713960806789	8.558511642903822	9.836375409633911	1.630024243307813	2.6730927817219334	2.5025518850894812	3.087216340649052
ENSMUSG00000030711.17	Sult1a1	0.8861085490841941	4.204943246066935	113.19686641695067	9.85399381204355e-7	0.0033836643951795147	13.734965925939248	13.013735053288615	12.301684866943075	12.651795920441472	21.845774647083015	22.26067096191034	25.71414051055031	25.81255884820457
ENSMUSG00000024903.11	Lao1	3.6595271969402625	-2.040416357866421	104.48551759069315	1.4205043252333069e-6	0.004064773126655107	0.049809486585455115	0.029070145316355805	0.018809915698689717	0.01759637819254725	0.3536031427281499	0.48327101138475637	0.35270865494549736	0.4287800473123683
ENSMUSG00000025854.16	Fam20c	-0.8005543495076815	3.3297982301913596	95.41457585224663	2.144649290548579e-6	0.005260211952775508	11.82975306404559	13.00404500484983	12.69669309661556	13.443632939106097	7.270425593166594	7.536007333781044	6.73505574443545	7.7180408516226295
ENSMUSG00000038594.10	Cep85l	2.1235833519153298	6.464745585057503	86.80011855412721	3.283176351319797e-6	0.006163338412658839	41.51620706897684	22.122380585746768	41.81444259818724	26.447356423398514	149.54825597331998	178.74986533593676	135.38973654836448	110.76246182173098
ENSMUSG00000037379.8	Spon2	-3.2062355166688845	0.24424760405029694	85.16394002331226	3.575159755721407e-6	0.006163338412658839	1.133165819819104	1.947699736195839	2.464098956528353	2.9385951581553904	0.3277297420407243	0.19632884837505726	0.15116085211949887	0.20581442270993677
ENSMUSG00000000183.7	Fgf6	-1.2959071025908226	2.5004978436340672	85.08613271327987	3.589806286131306e-6	0.006163338412658839	7.583494332635541	7.064045311874461	9.517817343536997	7.900773808453715	3.2859218873030516	2.7939105345681226	3.946977805342471	3.018611533079073
ENSMUSG00000041134.16	Cyyr1	0.8404443753321599	4.430064403558654	79.00436106741375	4.995860097512092e-6	0.007156123616454469	15.054917320453809	17.093245446017214	15.217221800239981	14.32345184873346	25.933771955696262	31.865682313182372	27.662435937868295	25.0750571668273
ENSMUSG00000008035.13	Mid1ip1	1.1938010301458377	5.3908729307553855	78.90444551168991	5.024009918753001e-6	0.007156123616454469	29.512120801882155	20.21344104330607	30.52849317897341	21.819508958758586	58.12890687774952	54.54921541005437	58.364884568362065	62.34461887921835
ENSMUSG00000058793.15	Cds2	0.5488179131854529	5.57475568914224	77.42000384055602	5.4655710388388066e-6	0.007156123616454469	40.13399381623046	39.27376632239669	37.26244299910433	38.043369652287154	58.059911142583054	57.17700153445899	57.37394120446758	53.734715529186
ENSMUSG00000020241.14	Col6a2	-1.4681147037148934	5.306043107558797	75.60124322671584	6.071942307302854e-6	0.007156123616454469	59.597050699497046	65.46596725243327	49.601747697444786	57.663331336977336	25.278312471614814	25.522750288757447	15.250450413833887	17.83724996819452
ENSMUSG00000021903.12	Galnt15	1.2508412193915452	5.023563173912371	75.1027040516076	6.252073751925974e-6	0.007156123616454469	17.657462994543838	23.042935187431368	20.50280811157179	15.678372969559598	45.43369160711936	56.39168614095876	42.42581249487269	38.83032108460807
ENSMUSG00000029086.16	Prom1	1.3482992906317521	2.041131231299231	73.55835516661365	6.852330955581829e-6	0.007352979386024026	2.1044508082354785	2.53879269096174	2.238379968144076	2.3227219214162367	7.322172394541445	5.889865451251718	4.467642962642967	5.745652633985736
ENSMUSG00000037936.16	Scarb1	0.7586705509295447	4.8015813476103375	72.13741216549901	7.466817406543936e-6	0.007541046356056049	20.6958416762566	22.132070634185553	19.806841230720273	20.130256652274053	29.918275661559804	39.024134169319076	34.733404687013746	36.4634552234438
ENSMUSG00000044320.15	1700001O22Rik	-1.5068669380091575	2.7582146338989237	70.58209654552712	8.217074009801821e-6	0.007837719093015972	13.236871060084697	8.759803788661882	9.536627259235686	8.323086885074849	3.35491762246952	3.1714660122124636	3.0232170423899776	4.49361489583362
