Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_CACS_neg_1	CPM_CACS_neg_2	CPM_CACS_neg_3	CPM_CACS_neg_4	CPM_CACS_neg_5	CPM_CACS_pos_1	CPM_CACS_pos_2	CPM_CACS_pos_3	CPM_CACS_pos_4	CPM_CACS_pos_5
ENSMUSG00000069763.4	Tmem100	3.5665005922682833	6.0361992288729205	147.79995739400488	5.329061267233807e-8	4.697016490827203e-4	8.061692261482918	16.85072531320381	7.136715881689481	11.716115191758883	7.3597488552963855	121.01841209469801	102.62267276226177	72.48245689895828	134.19478589933794	174.04133232897703
ENSMUSG00000022594.15	Lynx1	-1.5221353852693678	7.0645189623868365	134.45079910216182	8.921723332091415e-8	4.697016490827203e-4	214.34917209170717	190.1395517819801	199.31827926718478	169.3423713240057	219.43302160281772	53.654416319034574	76.0768976035554	88.19778601806377	68.85041969866084	58.83338646691066
ENSMUSG00000058655.10	Eif4b	0.8713385791920046	8.664521355105213	131.1811812578678	1.0195335920514921e-7	4.697016490827203e-4	258.68847952986323	311.95445323418335	290.3720931182638	289.75131698058317	283.1862600945571	551.4850002147547	519.5802634165776	464.9578061055652	556.685997686575	530.4919407311294
ENSMUSG00000097466.11	D430036J16Rik	1.8601536119736743	1.298854243985862	128.68856616029936	1.1310617038895197e-7	4.697016490827203e-4	0.867397268640567	0.9793583942716744	0.995256296426084	1.2028865699957785	1.1250571498542246	2.936075738552642	3.342442492610839	3.934830496997404	4.8472954401654595	3.767557609947093
ENSMUSG00000046598.16	Bdh1	-1.5683774394013688	5.225590992882553	121.103365850393	1.569685472058879e-7	5.214809075274007e-4	62.733231870210425	53.02937658394566	60.88055588869802	46.40736387043714	56.51068308955282	13.827969607376959	15.912932736560299	23.920890277478122	20.89513762556761	19.69044582461823
ENSMUSG00000051627.4	H1f4	-1.5578101749343447	2.0673184490409904	109.268744709311	2.723402005490079e-7	7.304635524422765e-4	5.408477086817653	6.423438880075982	7.452284951287996	5.05212359398227	6.680026827259458	1.9179204421190645	2.034530212893554	2.111372461803485	2.7060144447525625	1.7648033015015332
ENSMUSG00000025747.13	Tyms	1.0406790048568908	2.3675750188737106	106.78608281301507	3.078228202453757e-7	7.304635524422765e-4	3.3165189683315797	3.398949721295811	3.374161590322578	3.4161978587880113	3.1876619245869695	7.269155255932751	5.54651688991219	7.0778963208185015	7.576840445307175	6.880749950798112
ENSMUSG00000027496.16	Aurka	-1.0151893213085375	2.593994497854844	99.81807478060757	4.4036699286888795e-7	7.917272504559037e-4	7.6790169959061965	7.057141370487066	9.467072087955433	8.083397750371631	7.828522667735646	3.6937727033404206	4.141722219104735	3.7188946770402294	4.447275913549864	3.846874612261769
ENSMUSG00000020658.11	Efr3b	-1.3615384734258937	3.290624511077495	99.12882693025482	4.5680118307616114e-7	7.917272504559037e-4	19.00620485697713	12.069151976465635	11.506133768438144	12.894944030354747	14.696059019970807	4.8539961806717065	6.127811236453205	5.494366974465887	5.5767428122291935	5.254751403347261
ENSMUSG00000027805.17	Pfn2	0.53108049751902775	7.314577760129966	98.33493390819768	4.7662828875799394e-7	7.917272504559037e-4	132.15052504582758	128.64160555344995	126.10625512032944	130.5372505759419	133.41302702021346	195.58052903584536	182.81707198714938	181.3381030262584	188.4091970359458	192.34373061308844
