Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_CT26_1	CPM_CT26_2	CPM_CT26_3
ENSMUSG00000031889.10	Phaf1	3.7361176190644834	7.52332480012983	992.0197648825482	1.160750628430691e-8	8.496716193441126e-5	23.62702634128833	26.331170998798093	27.0495391164078	333.77492648184284	340.48460110225	352.14347909299715
ENSMUSG00000044951.18	Mylk4	-4.423281490079095	10.265129820105278	897.4288961759911	1.6318863250596618e-8	8.496716193441126e-5	2217.285258289867	2404.8782265313566	2432.11927896968	120.3922484940491	108.7143763165947	99.6733056363125
ENSMUSG00000040435.13	Ppp1r15a	3.971294973164228	7.509193722364845	895.8694453406622	1.6415603155798157e-8	8.496716193441126e-5	22.64727724260652	23.429079571511206	19.40582038923775	325.42655888554015	357.73448369122997	344.00615752767965
ENSMUSG00000034936.3	Arl4d	3.952194073817875	5.676205733430935	706.1152166430775	3.683381658679486e-8	1.4298887598993763e-4	6.481417114356608	6.936706338393046	5.172688966231455	91.27282276340485	99.52112493680886	97.00824398828276
ENSMUSG00000139764.1	Gm54022	6.366181563918677	4.8953137626074685	620.2925645436826	5.715485362695302e-8	1.5200404349390985e-4	0.9043837833985964	0.5308703830402841	0.6918883330628061	50.96898111426896	71.13905067703368	53.905313600815
ENSMUSG00000071036.4	Gm10309	6.828431229009887	3.5537813760629406	615.322443340759	5.8734174456688505e-8	1.5200404349390985e-4	0.18841328820804093	0.17695679434676137	0.2306294443542687	22.24899880928512	28.616084294897004	18.584363225594096
ENSMUSG00000020034.8	Tcp11l2	3.46072142093256	7.9918532043792325	584.1068775134912	7.006106529754412e-8	1.5541546027718074e-4	38.77545471321482	48.02607398571104	40.32720569851784	490.43663802585763	428.572664323107	480.81265545987327
ENSMUSG00000035172.16	Plekhh3	-3.3369723686340476	4.199990461151839	547.2028282313814	8.738264622880243e-8	1.696097163301055e-4	34.517314399713094	30.436568627642956	34.98978141489048	3.3553247755474866	3.008700451566274	3.517881375399265
ENSMUSG00000020130.10	Tbc1d15	2.976508239240789	6.871523415937972	505.43558467527714	1.143037881123717e-7	0.00018831095579673399	26.98078287139146	26.366562357667444	25.797550704198912	224.28748350832305	178.31564676282784	220.41836536971354
ENSMUSG00000029167.14	Ppargc1a	4.137566442543327	8.530134868418665	493.51654342734645	1.2390694425255405e-7	0.00018831095579673399	41.036414171711314	43.88528499799682	34.297893081827674	575.518087691526	777.3813366746904	745.5421124974947
ENSMUSG00000021477.10	Ctsl	2.6841377750612456	8.434493639211388	451.82058729178067	1.6695389444514145e-7	0.00018831095579673399	84.03232654078626	94.21179731021576	101.1804319445656	599.4447488885849	574.3609162040017	622.167525271371
ENSMUSG00000028834.14	Trim63	4.081493486512297	11.159375044162099	450.75916880975325	1.682848687372795e-7	0.00018831095579673399	267.81064785890936	283.62634997898914	213.9252831703238	3694.851687358839	4489.950543882385	4772.699001757591
ENSMUSG00000038777.20	Sema6c	-2.788906819410295	6.20672764970288	445.9077058245012	1.7454604569537478e-7	0.00018831095579673399	118.775736886349	128.5060240546181	139.4649197073742	20.811002476907625	16.78186251873633	18.371158293751716
ENSMUSG00000086841.4	2410006H16Rik	3.553472442558292	5.1184597904975675	445.0873666647423	1.756343502426066e-7	0.00018831095579673399	4.258140313501725	6.016531007789887	6.029312616690167	62.433007430722874	63.04898946282214	66.23566549236595
ENSMUSG00000028584.4	Lrrc38	-3.816693858307271	4.143519881475359	434.96830457991143	1.8980926922019855e-7	0.00018831095579673399	30.334539401494588	32.772398313020204	35.4839873670782	2.6363266093587394	1.8720802809745705	2.48739087149443
ENSMUSG00000018347.17	Zkscan6	3.4867234295272374	4.131513279275845	425.4709524001531	2.0448691644161332e-7	0.00018831095579673399	3.052295268970263	3.1498309393723525	2.3721885705010495	30.317756007625505	34.800635223116565	31.056851738373307
ENSMUSG00000025178.10	Pi4k2a	2.4671057221110404	6.275422145872054	418.20645062457874	2.16716889371451e-7	0.00018831095579673399	21.742893459207924	25.906474692365865	23.458309197177044	124.54646012091742	127.06744907114897	141.63914305395426
ENSMUSG00000042834.16	Nrep	-4.298623504170153	5.768633297130879	416.73214321290624	2.1931343940089186e-7	0.00018831095579673399	82.78879883861318	105.04155312423755	123.02433503126275	5.392486246415603	6.017400903132548	4.370701102768784
ENSMUSG00000018143.11	Mafk	3.5440595515202467	7.1201462210078175	408.8369298578649	2.33924433564674e-7	0.00018831095579673399	22.458863954398478	22.190382011083877	21.21790888059272	208.829022935265	249.12039738968747	310.4619149178119
ENSMUSG00000034908.17	Sidt2	2.5352083003025903	7.770194214261281	398.2467521124344	2.5556174539483845e-7	0.00018831095579673399	59.04872452440002	62.855053351969644	70.73734528980212	348.59427757384424	397.54961966695697	370.62123985267004
ENSMUSG00000036452.19	Arhgap26	4.864640644255466	7.651676850405906	387.7309790613155	2.7967598662424785e-7	0.00018831095579673399	14.394775219094326	15.218284313821478	10.411272059421272	298.42418331089607	454.31376818650733	413.3332945317601
ENSMUSG00000001627.13	Ifrd1	3.9577623683570016	8.306849752436479	381.26721251842156	2.9597004551928316e-7	0.00018831095579673399	32.896960121123946	46.928941860761114	35.02272847836966	633.4373844122862	503.3555855470376	648.000856179606
ENSMUSG00000049225.16	Pdp1	-2.3023596228752163	5.426704334383908	381.2295849742373	2.9606844209234564e-7	0.00018831095579673399	70.57961776273213	72.80002519425763	70.83618648023968	13.940575555548486	13.238281986891606	16.23910897532792
ENSMUSG00000079278.4	Tmem233	-3.3509747698750347	6.629667033241462	374.2749145770165	3.1500518375210544e-7	0.00018831095579673399	176.16642447451827	176.8506202701533	187.69942064089554	14.180241610944735	21.294913196085737	17.482804411075136
ENSMUSG00000031490.7	Eif4ebp1	2.6071934186281216	7.219167721471718	370.9047220052346	3.2474562155444764e-7	0.00018831095579673399	44.277122728889616	38.895103397418154	42.798235459456436	252.5281337025144	227.09002408321888	288.0043287637479
ENSMUSG00000032688.10	Malt1	2.160287167610631	4.788597192060735	369.5717055157987	3.287056027883203e-7	0.00018831095579673399	10.061269590309385	10.12192863663475	10.048854361150278	48.77204227313668	44.59562669321566	41.82370079641348
ENSMUSG00000069114.9	Zbtb10	2.3285545915994823	4.551828532252794	365.39592513107124	3.4152156623290486e-7	0.00018831095579673399	7.7249448165296775	8.316969334297784	7.248353965419874	36.948516873588396	38.64508580011792	41.432825088035784
ENSMUSG00000030161.9	Gabarapl1	3.3908268665355226	8.231717128961952	364.35854933123244	3.448051279684637e-7	0.00018831095579673399	46.161255610970024	61.15626812624073	49.61827759964695	613.5451018143975	467.7526302035034	564.9930693823062
ENSMUSG00000022094.16	Slc39a14	4.708733956114703	7.468953549666756	362.22476705368666	3.5168841564305033e-7	0.00018831095579673399	11.380162607765671	16.77550410407298	10.971372138567354	401.0411993630567	279.0736818852806	343.3665427321525
ENSMUSG00000038546.10	Ranbp9	2.8182358726763916	7.2897948771527075	343.16441176844063	4.2181557735710914e-7	2.1724508134572548e-4	34.44194908442988	45.44250478824832	36.63713458884954	293.47108483270694	249.58841745993112	278.87205084983265
ENSMUSG00000066571.14	Garre1	1.9955779749158835	6.952708511823385	340.3383736405159	4.3370669253719026e-7	2.1724508134572548e-4	47.14100470965184	49.65407649370124	52.12225442406473	189.53590547586694	211.41135173005685	192.9504633173536
ENSMUSG00000087410.9	2310065F04Rik	-2.687874100860332	5.652536600133359	335.4830905555053	4.5516714211258076e-7	2.2086985571012982e-4	83.65549996437016	80.30299327456031	96.93026075575122	12.98191133396349	15.511522328075012	11.975010338480326
ENSMUSG00000064120.15	Mocs1	2.085673899079663	5.514716383365776	327.8984052487369	4.915197358817712e-7	2.2210688386287104e-4	18.46450224438801	15.466023825906944	18.28562023094559	71.85987227630866	76.62157149988778	73.20035993255036
