Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Control_1	CPM_Control_2	CPM_Control_3	CPM_KIC_1	CPM_KIC_2	CPM_KIC_3
ENSMUSG00000020623.12	Map2k6	-2.6368798371227147	4.136147473065568	395.4740368167671	1.2860230815719791e-7	0.0020686967290166856	29.005608115494077	27.850771027072348	33.91307629413589	5.169903614224461	4.990538367584774	4.428819963991199
ENSMUSG00000052276.9	Ostn	-3.232892074698525	2.757995841464632	299.8202139341998	3.4621765280519147e-7	0.002784628581512155	11.291851129832564	14.254331628029155	11.029567143440675	1.1115292770582592	1.4865433435358901	1.2749633229671633
ENSMUSG00000031490.7	Eif4ebp1	2.582596788956873	7.261965482257744	256.1385680519856	6.065269202998081e-7	0.003252197346647571	48.057262154453284	38.870465862587196	44.74365640148356	219.02296661661933	293.1251110117984	276.6223055286826
ENSMUSG00000029416.18	Slc15a4	1.9180629892659429	4.648480426712364	219.9827382547984	1.0405595573561197e-6	0.004184610259907635	9.097699962424342	10.389214782736634	11.910795446138254	37.4301021669851	41.432086617693166	39.79227634313305
ENSMUSG00000063821.7	Dusp29	-2.6691949909859143	3.9201296771561416	201.15822067014645	1.4276118937865151e-6	0.0045929129846899765	22.47667049540131	28.207129317773077	27.687624736369116	4.058374337166202	3.270395355778958	4.9880144038890775
ENSMUSG00000040990.18	Sh3kbp1	-2.3737418737106752	4.106149276587192	181.57748621830166	2.048176881075912e-6	0.005292093648778831	24.269452546820226	26.836520507385657	35.391265705112474	5.764442529860275	4.926829367147521	5.994564395705259
ENSMUSG00000068614.8	Actc1	-4.259441494593315	6.675737344533517	173.4021517834164	2.4082888968046185e-6	0.005292093648778831	145.80402086838305	241.8576306809639	195.23470912667668	7.444661204483225	8.537006058591826	14.42721654936527
ENSMUSG00000057363.13	Uxs1	-1.4822199987499778	3.154389342130955	169.0722919921344	2.6319003599546594e-6	0.005292093648778831	13.004359358053616	13.569027222835444	12.621463432184688	4.70461228894426	4.778175032793932	4.5406588519707745
ENSMUSG00000001983.8	Taco1	-1.450549729038427	4.213326984497883	157.59960456530362	3.366921868541042e-6	0.006017811686372355	28.818302528032397	25.548148225621485	26.97695675032268	9.07318084296393	9.917367734732295	10.758901023635184
ENSMUSG00000033083.17	Tbc1d4	1.4368062868522247	3.9716230335891582	143.6768170373849	4.651261713040835e-6	0.006533030726459622	7.73304496806069	8.168828509909016	9.380817415812945	21.791143733956105	22.722876822620034	23.933522027629206
ENSMUSG00000005625.16	Psmd4	1.3648959322045775	7.888918508214728	142.7275128904508	4.760016050686844e-6	0.006533030726459622	124.93282683693897	134.34707559417478	138.35284352352	327.0998016719817	346.4707807112578	350.57017826077805
ENSMUSG00000033576.13	Apol6	-1.524649365802655	4.537614391284219	139.46049523359733	5.1599767004101074e-6	0.006533030726459622	39.62851071867779	30.317866885769703	33.31611518585688	12.459467710280952	11.977292082203457	11.452302129108554
ENSMUSG00000028080.17	Lrba	1.374239442733487	5.396142727023263	138.54476159981354	5.279709029216404e-6	0.006533030726459622	26.624151360624175	21.847504437575456	21.746440373020917	60.97901312977753	62.604711096340054	58.46937063572219
ENSMUSG00000027566.16	Psma7	1.2300746322552718	7.138037387628735	125.71264238834365	7.400137502361817e-6	0.008357634650581201	83.80587141856775	85.80011153025241	82.86388717301435	194.15573023219966	185.60555460719542	212.4938871611939
ENSMUSG00000087590.5	Epb41l4aos	1.7496445462765713	2.4576545587888163	121.67685917691328	8.285398779957008e-6	0.008357634650581201	2.4617305780677627	2.549332387320599	2.444697871999737	8.06504963819016	7.411480384200366	9.618144366243513
ENSMUSG00000050043.17	Tmx2	-1.521234628625551	4.9625859674198995	120.17422772232864	8.649297897359813e-6	0.008357634650581201	39.36093130801825	46.655523905587735	52.58943096743621	17.7327693967899	15.460050772773256	15.098249877242724
ENSMUSG00000127830.1	Gm66494	3.776788761926932	0.6002876618681279	115.82795965787271	9.82311481606385e-6	0.008357634650581201	0.13378970532976972	0.219297409661987	0.22741375553485926	1.9387138553341732	3.3553406896952946	2.751236644297563
ENSMUSG00000035673.11	Sbno2	1.7290017988943143	4.103673706380092	112.8928184910417	1.07323850761475e-5	0.008357634650581201	7.840076732324506	7.154577990222325	8.812283026975797	21.27415337253366	29.87952120507139	27.758411996530697
ENSMUSG00000001909.17	Trmt1	1.2095740416870941	6.108306299368979	110.66117830508956	1.1496522374523254e-5	0.008357634650581201	43.26759070364753	38.870465862587196	42.69693260166983	86.46663794790412	103.46341671009795	98.77610586356128
ENSMUSG00000028329.14	Xpa	1.513682077225116	2.9788773220986933	110.17208825217763	1.1673173264393318e-5	0.008357634650581201	4.147480865222861	3.9199411977080176	4.093447599627467	11.65813265007616	13.060345089636748	10.020764362969985
ENSMUSG00000024747.4	Aldh1a7	-5.122722890451693	0.9884674810641404	109.1817225676107	1.2041603268614625e-5	0.008357634650581201	2.381456754869901	4.029589902539011	5.059956060650618	0.051699036142244616	0.08494533391633657	0.17894222076732116
ENSMUSG00000034457.11	Eda2r	2.599926533695517	4.592120891969732	108.94966566925332	1.2130066817716323e-5	0.008357634650581201	7.73304496806069	5.975854413289145	6.7087057882783485	54.87852686499266	40.41274261069712	28.586019767579558
ENSMUSG00000026837.17	Col5a1	-2.828344787857624	4.360341332659361	108.17732587671685	1.2430525535484794e-5	0.008357634650581201	27.66771106219638	50.356167693633765	29.876482133392134	6.04878722864262	4.990538367584774	4.160406632840217
ENSMUSG00000037071.4	Scd1	-4.844028189612635	6.4290884172744125	108.079064463265	1.2469428796092802e-5	0.008357634650581201	136.46549943636512	280.0976164907729	82.94916733133992	5.9453891563581305	5.2241380358547	6.218242171664411
ENSMUSG00000025793.18	Hgs	1.9817010378404223	6.025561103029165	104.89974762892227	1.3816425935532383e-5	0.008622747754751692	23.54698813803947	26.480162216684928	28.85312023348527	78.19479216514497	127.3755282075467	105.95616247185005
ENSMUSG00000027397.15	Slc20a1	1.2723932190301583	4.556565575723133	104.6344134403215	1.3937053439235607e-5	0.008622747754751692	14.502804057747039	14.007622042159419	12.70674359051026	33.99211626352584	29.072540532866192	36.52658081412943
ENSMUSG00000130059.1	Gm32240	3.5112059969685845	1.4678614092765787	102.10169956161447	1.515890929737787e-5	0.00868449798299876	0.3746111749233552	0.5756557003627158	0.3411206333022889	3.282888795032533	5.1604290354174465	6.374816614835816
ENSMUSG00000058975.8	Kcnc1	-1.7363240115789547	5.271679474494775	101.27970262020541	1.558462732015323e-5	0.00868449798299876	69.73119441787598	59.785956309099205	48.60969024557617	18.92184722806153	14.90790610231707	19.638908729213497
ENSMUSG00000039616.11	Mocos	1.681771186440937	2.6634359086536668	101.14375260877326	1.56564989125304e-5	0.00868449798299876	2.7828258708592104	2.7960419731903343	3.3543528941391743	9.279976987532908	11.02165707564467	8.365548820872265
ENSMUSG00000006998.17	Psmd2	1.1455054492593535	8.555090838648713	97.80167001504068	1.756419979299748e-5	0.008741232743054404	236.03179814277973	234.8401135717803	231.56405657337044	503.31596636282245	506.0830631400542	544.5659133501501
ENSMUSG00000024411.12	Aqp4	-2.3500774634788995	3.9223763480800375	96.34052951216756	1.8491164083948143e-5	0.008741232743054404	23.841325489764966	26.370513511853936	25.697754375439096	6.875971806918534	4.502102697565839	3.534108860154593
ENSMUSG00000090733.7	Rps27	1.0984664468252534	7.976647970940204	96.18321726443126	1.859464690518961e-5	0.008741232743054404	156.66774494116035	162.52679273574012	161.80488706305238	324.85089359979406	347.532597385212	357.5712926482995
ENSMUSG00000027204.14	Fbn1	-2.49263808578353	4.081767353450533	95.89909456559666	1.87834255991612e-5	0.008741232743054404	22.10205932047796	38.62375627671746	25.41348718102052	5.997088192500375	5.309083369771036	4.003832189668811
ENSMUSG00000120796.2	Gm57049	-2.130772657982037	1.0911729938839996	95.25316351557784	1.922177518038456e-5	0.008741232743054404	3.692595867101644	3.097575911475566	3.4680597719066037	0.8530340963470362	0.6583263378516084	0.8276077710488604
