Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_KPC_1	CPM_KPC_2	CPM_KPC_3	CPM_KPC_4
ENSMUSG00000044167.7	Foxo1	3.2182958108193773	6.590337301150961	305.8573133968287	1.5142835019406516e-8	2.2668824024051556e-4	19.222643524389127	18.507720729053467	17.58653698588324	19.392990356336178	164.25570644457775	174.9452387247916	230.35099640039488	125.90725931589726
ENSMUSG00000040562.13	Gstm2	1.4771580175500583	5.316753697395195	219.5793753374643	6.948661285868603e-8	3.739395316193995e-4	20.348420597559794	20.556545902011415	21.52327225259769	21.6745186335522	60.21140413890061	60.52548487975537	61.20730276954414	52.20068049277107
ENSMUSG00000021281.16	Tnfaip2	-2.3234358099322674	4.396871652855345	204.3695591574924	9.643217556472647e-8	3.739395316193995e-4	33.04155709755906	38.791089941337155	35.79853658423513	32.5117779503283	6.777312816051346	5.786674264989531	6.213205899646832	9.221468526500757
ENSMUSG00000063954.8	H2ac19	-10.898293389258727	1.9633549224886644	633.5922378286928	9.991704251687361e-8	3.739395316193995e-4	7.796006231706865	7.717241484808272	9.161187676746708	6.1601263484832565	0	0	0	0
ENSMUSG00000059895.14	Ptp4a3	1.512253230811381	9.2871861315751	163.855583852688	2.6275982895436136e-7	7.867029278893579e-4	310.06715037803076	308.8945419096267	333.77628354797645	344.4727443883322	914.9058537187092	1047.3254833224025	894.6438522849611	843.4874002720799
ENSMUSG00000027955.17	Gask1b	-1.835970302101272	2.901840607688597	153.9808181011087	3.477034911570025e-7	8.675202104367213e-4	12.749425353657797	11.370979709916615	11.295118942816222	10.9513357306369	3.231774166913373	3.409445918291129	2.6008768882242554	3.7472398605921806
ENSMUSG00000038594.10	Cep85l	2.0542090854495463	6.729671675383113	145.0864146117797	4.5423602423689034e-7	9.714161832608926e-4	42.272929097558524	31.654348922200302	44.84934850584031	45.85871837204202	211.6027668122698	177.76037755640814	146.34267291075145	148.06485153505102
ENSMUSG00000031431.14	Tsc22d3	1.2570657686837083	8.018850073946869	137.78696352271143	5.723664985233689e-7	0.0010710408103618541	157.29920154877135	158.783950904241	136.4244333549269	159.36475016353907	381.6003632815577	384.20389187495357	352.2743251939297	344.3876355356414
ENSMUSG00000112569.4	Gm33111	-5.1750367061410465	0.5052590994685435	119.76553920213118	1.0683450307517541e-6	0.0017770139011504176	2.251554146341333	4.200091604563794	2.28109893959155	1.939299035633618	0.031376448222459934	0.12511728140517905	0.028898632091380615	0.09775408331979601
ENSMUSG00000041797.8	Abca9	-1.7069623824467846	3.3246616757754346	109.73364604773735	1.57253425853064e-6	0.0019035624833491228	15.563868036584463	17.99551443581398	13.355466372124718	14.107449847452397	5.208490404928349	4.566780771289036	3.6412276435139574	5.278720499268985
ENSMUSG00000018339.13	Gpx3	1.579134651161786	7.536171887298348	109.47643998418563	1.5888741473821735e-6	0.0019035624833491228	78.38222871950765	102.33881738924953	89.69869701168062	101.79418663512148	297.1977175631405	285.92426733118543	313.00108418174347	215.97135474786933
ENSMUSG00000071713.7	Csf2rb	1.870201198770835	1.9348995388224421	108.62131409933282	1.6446968754674753e-6	0.0019035624833491228	1.6886656097559996	1.741501397014256	1.4716767352203548	1.5210188514773473	6.212536748047067	7.037847079041322	5.60633462572784	4.692195999350209
ENSMUSG00000037095.9	Lrg1	1.8051522777576383	3.105662034903736	108.25586946726726	1.6692757581505523e-6	0.0019035624833491228	3.433620073170532	3.6537382251083415	3.274480735865289	4.829234853440577	11.232768463640657	13.543945712110633	15.894247650259338	12.382183887174161
ENSMUSG00000064220.7	H2ac18	2.2799153041365905	3.662621403462109	106.68377937007557	1.780218755303121e-6	0.0019035624833491228	3.715064341463199	5.326945449690666	3.0905211439627447	5.05738768116218	24.065735786626767	19.23678201604628	24.592735909764905	15.575483942287498
ENSMUSG00000022180.8	Slc7a8	1.9367206074107461	4.948014877437352	103.33672893674041	2.047680140970406e-6	0.0020435847806884655	11.62364828048713	11.746597658292238	13.355466372124718	14.297577203887064	40.506994655195776	47.106656449049915	68.48975805657206	39.16680271679827
ENSMUSG00000015202.14	Cnksr3	1.8716789137500385	2.6930651457622523	98.67308721892118	2.50649030366202e-6	0.002257602733155623	2.730009402438866	2.697619811061299	2.759393878538165	2.775859403946159	7.498971125167924	13.450107751056748	9.305359533424559	9.90574710973933
ENSMUSG00000107451.2	Gm44421	2.6341431002962605	3.5419791021697486	98.16433189069596	2.5637439187472004e-6	0.002257602733155623	4.080941890243666	2.11711934538988	3.7527756748119043	2.851910346520026	23.846100649069548	20.61307211150325	22.801020720099306	12.447353276054026
ENSMUSG00000086938.12	4930481A15Rik	2.346722642585701	2.4967132994486922	94.76667717175847	2.9895389805150052e-6	0.0023688942056691634	1.829387743902333	1.9805310005260168	1.3245090616983193	2.16745186335522	9.1619228809583	9.133561542578072	12.542006327659188	6.354015415786741
ENSMUSG00000048852.14	Gm12185	-4.1174673819989165	-0.6005482510409961	94.64284814026846	3.006612552285511e-6	0.0023688942056691634	1.3790769146340662	1.05855967269494	1.0669656330347572	1.0647131960341432	0.12550579288983973	0.031279320351294763	0.028898632091380615	0.06516938887986401
ENSMUSG00000002910.12	Arrdc2	2.75513614839669	6.2843013232734295	93.19868722955742	3.2147186070082613e-6	0.0024062168773456836	31.212169353656726	22.707812333617262	13.097922943461157	13.232864007852921	136.1737852854761	142.60242148155282	149.92610329008264	113.88350706756236
ENSMUSG00000097415.5	AU020206	-1.8539283538672513	1.9465630276017925	90.86798899850095	3.588663464872304e-6	0.0025582043842446852	7.570850817072731	5.395239622122598	4.8197413078466615	6.008024463335522	1.5060695146780767	1.5014073768621485	1.9362083501225011	1.6292347219966001
ENSMUSG00000039316.15	Rftn1	-1.7006232534940822	2.812825005833108	86.18087604424207	4.513659499625282e-6	0.0029482008603260554	9.991271524389663	13.214922365578767	10.596072493586554	8.859934809855549	3.263150615135833	2.6900215502113496	3.063255001686345	4.105671499431432
ENSMUSG00000127364.1	Gm66826	2.5258414820076274	2.3871330005471765	86.10035522064825	4.531922904801517e-6	0.0029482008603260554	1.8575321707315995	1.434177621070564	1.140549469795775	1.6350952653381483	10.071839879409639	9.133561542578072	10.923682930541872	4.9854582493095965
ENSMUSG00000027800.15	Tm4sf1	-1.1355104099084041	2.759403732857032	85.26583431460163	4.726574525572834e-6	0.0029482008603260554	9.991271524389663	9.663625399118324	8.351765472375513	8.897960281142481	4.267196958254551	4.0663116456683195	4.161403021158809	4.301179666071024
ENSMUSG00000051043.17	Gprc5c	-1.4892800736905043	4.8333385954431485	82.45301643084623	5.461680709844989e-6	0.0030114017035254882	42.498084512192655	42.820446114821124	38.079635523826674	44.45177593442548	13.80563721788237	15.639660175647382	11.125973355181538	19.224969719559883
ENSMUSG00000048572.6	Tmem252	3.8553313977460673	1.6910636673799508	82.14091771970546	5.55151334322111e-6	0.0030114017035254882	0.39402197560973323	0.6829417243193161	0.25754342866356206	0.2661782990085358	6.055654506934768	7.037847079041322	7.7737320325813855	2.6719449440744243
