Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_LLC_1	CPM_LLC_2	CPM_LLC_3	CPM_LLC_4	CPM_LLC_5	CPM_LLC_6	CPM_LLC_7
ENSMUSG00000056054.10	S100a8	7.0933677734149505	5.161662606858253	271.0599625898332	3.877041189555446e-10	7.4090257132404575e-6	0.43645132502210887	0.38858773770212657	0.2665063368355521	64.26779260415282	51.374470951404064	40.220405652611795	47.55928052482636	64.5874441419094	65.19578239628271	22.570600965438746
ENSMUSG00000026822.15	Lcn2	4.093948282178448	0.8826651250455504	200.21488874755565	2.5562993164306915e-9	2.4425439968495258e-5	0.08729026500442177	0.15543509508085063	0.19036166916825148	2.9567083553983347	2.182876982375636	1.955330490188512	2.659311471809578	2.5732049458928046	2.620409260300752	2.2570600965438747
ENSMUSG00000058624.14	Gda	1.8970620669580747	5.407507957157194	150.813915970294	1.4487363113439044e-8	8.303338174903206e-5	15.915924985806237	12.00736109499571	15.761946207131222	53.1232764953437	41.597641650059664	55.541286328899	53.41747391200108	65.96761770379736	59.05354309013775	51.17178437633066
ENSMUSG00000000204.17	Slfn4	5.148922141344667	1.9872253582791548	146.34810220770675	1.7380090371330625e-8	8.303338174903206e-5	0.14548377500736961	0.15543509508085063	0.15228933533460118	8.512720759498501	5.411075336593127	3.712652829471858	5.472785927492175	5.96515692002423	6.393798595133835	2.8213251206798433
ENSMUSG00000056071.13	S100a9	6.518138214525463	5.156355258247137	140.73213421851358	2.2014133707225293e-8	8.413801902901507e-5	0.4655480800235828	1.0880456655659545	0.11421700150095088	62.513262371279076	53.15766623278134	41.482707614632226	51.644599597461365	59.88549692259618	66.24394610040301	18.973411436571947
ENSMUSG00000022146.13	Osmr	1.5139631108584037	4.729097339246298	133.28142827806118	3.053993263131784e-8	8.537393426778877e-5	13.180830015667688	9.287246931080825	11.992785157599842	33.498530927644865	27.79325059250106	31.483295993921356	33.14504153269908	36.91379458744405	33.855687643085716	33.256369860013656
ENSMUSG00000001506.11	Col1a1	-3.79222804821809	4.696039014179385	130.58225686130277	3.4528364596195264e-8	8.537393426778877e-5	72.65459723868038	73.9871052584849	75.26900398912663	3.0216909566158803	8.854486914425117	7.821321960754048	5.781111895238213	1.9649928677726873	6.435725143298647	3.42085670882431
ENSMUSG00000025804.6	Ccr1	4.1323211787714005	0.6547180358742188	129.8328971037755	3.574000387976505e-8	8.537393426778877e-5	0.14548377500736961	0.11657632131063797	0.07614466766730059	2.0469519383526933	2.398090205990136	1.9058284524622204	2.0812002822857565	2.7369543515405286	2.1801805045702256	1.1637966122804355
ENSMUSG00000022651.7	Retnlg	8.497549347663904	1.9837271035542785	121.39491233895646	5.339468915488061e-8	1.0577313446897023e-4	0.029096755001473924	0	0	6.5307514223633545	5.195862112978627	3.3413875465246723	4.663430262158824	9.895142655569604	6.288982224721805	2.539192608611859
ENSMUSG00000048126.17	Col6a3	-1.3913553661933566	5.29065777122832	120.6640262814304	5.534962557245956e-8	1.0577313446897023e-4	65.87505332333696	68.7411707995062	72.3755066177692	25.408197076060414	32.43570727332812	30.46850422053238	25.16710711727035	20.070998577963877	25.617120928700153	24.933460754008117
ENSMUSG00000005800.4	Mmp8	6.507906263062561	1.3439921616179438	98.72760901116536	1.8065163901594898e-7	3.0579215956187683e-4	0.05819351000294785	0	0.038072333833650294	2.7617605517456973	3.2281983542174904	1.955330490188512	3.622830121015946	4.421233952488547	6.268018950639399	1.9749275844758905
ENSMUSG00000034205.17	Loxl2	-1.4460133915713373	3.092209218702554	97.69978928606989	1.920201943873638e-7	3.0579215956187683e-4	13.035346240660317	17.292154327744633	15.45736753646202	5.198608097403666	6.6101204395881945	6.163003696923284	6.1665193549207595	5.801407514376505	4.087838446069173	5.184184909249212
