Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_C26_1	CPM_C26_2	CPM_C26_3
ENSMUSG00000121069.2	Gm56730	-2.276575673546095	6.921333046457448	3017.9494110227515	1.6612774545160618e-15	2.300204763522939e-11	198.65428429293218	205.05027532141426	199.22817032715648	41.83144496715789	41.89341048527859	40.71719419222564
ENSMUSG00000022382.16	Wnt7b	-2.151266183864246	6.316334243870051	1934.5973175640645	2.2241504926103018e-14	1.175118714069523e-10	126.27287083319185	129.31047101286518	134.78717365155248	28.589836488345323	30.96701207626827	28.2729366321976
ENSMUSG00000026605.15	Cenpf	1.8460066607105827	7.225816443737859	1890.2330482096581	2.5461188373599372e-14	1.175118714069523e-10	65.898654466072	63.08800855497654	66.1609521028888	235.03855049892312	232.5457378464001	234.04576457040184
ENSMUSG00000032487.9	Ptgs2	-1.946425376089512	9.943037718184943	1748.6452936209248	4.0074985595332775e-14	1.387195626382444e-10	1654.9074415401844	1557.0257287538518	1477.556375732799	411.33251065547773	406.72851833735484	398.68485413027076
ENSMUSG00000029378.6	Areg	-1.9318463045428498	7.177638007864352	1593.5719146951926	6.881889418694074e-14	1.4510951650473763e-10	226.84019296105535	223.68602852600083	237.81250374591227	57.60099688283468	62.78681622348368	59.93029477653671
ENSMUSG00000040435.13	Ppp1r15a	-2.5350903602441335	7.393409518977293	1549.251852985946	8.10973095970179e-14	1.4510951650473763e-10	281.74634304655933	278.9094072882161	299.90289467089366	47.42903400592866	54.79189055835418	46.18433663491578
ENSMUSG00000024900.6	Cpt1a	2.3508648587947687	5.8986204755000164	1532.8528932255963	8.627846963577623e-14	1.4510951650473763e-10	20.181110606376198	20.003514907675488	18.231527529218923	104.12719394702611	94.23352383965972	99.86646861980662
ENSMUSG00000074934.4	Grem1	-1.9099850693822982	7.737606996959534	1532.3713349078873	8.643637601763232e-14	1.4510951650473763e-10	346.91216388726014	321.93691086455505	342.67245296270914	86.3112116300783	90.18276150266078	92.57694536288643
ENSMUSG00000037722.9	Gnpnat1	-1.6779912829060373	6.299413898249538	1509.551851051331	9.432223375289895e-14	1.4510951650473763e-10	121.93224089830088	122.75661285223077	115.29434547565803	37.97934068241242	37.25635359950348	37.280704656820404
ENSMUSG00000043613.9	Mmp3	-2.4578337307865543	6.137534377824228	1441.257220140627	1.234784834453401e-13	1.7008146260634797e-10	118.83179094480732	112.66937029194996	125.95806912482382	22.45054528453222	19.614217631784378	23.014066282562318
ENSMUSG00000106874.4	Gm20186	-2.1685465836623745	7.007109409063124	1419.101407251353	1.3512177442364782e-13	1.7008146260634797e-10	203.38951694917688	209.21055050164307	218.8929940457794	45.081657957411885	51.00762574352622	44.30988779742202
ENSMUSG00000024486.7	Hbegf	-1.7560098334318825	6.016667660839713	1378.8205538105315	1.5975440562069973e-13	1.7366191454459943e-10	100.96192484921724	97.05409084835144	101.64936575253192	30.395510371819764	28.621833881163614	29.730841283581636
ENSMUSG00000066357.7	Wdr6	2.1712665847535666	6.216437718059154	1348.6329512591944	1.8169894490560794e-13	1.7366191454459943e-10	28.016793216114444	24.106800016942255	28.665923788080068	122.36450017011798	123.6015507829021	118.03820873884338
ENSMUSG00000022346.18	Myc	-1.5820819818764245	9.630890019832954	1346.6049930640227	1.8329559571373873e-13	1.7366191454459943e-10	1207.0333528037072	1175.3632235210805	1183.615993209826	389.30328927708956	417.54831773749675	384.15787563969405
ENSMUSG00000020812.21	Snhg16	-2.240074527607341	5.921443154463094	1340.5814014565526	1.8813583115477332e-13	1.7366191454459943e-10	98.08696216506867	99.50466389971909	102.62400716132665	19.862412718218856	23.291883437743948	20.306529072849106
ENSMUSG00000004665.11	Cnn2	1.7639709556326082	7.323048440037156	1266.3139993829006	2.6202048799529045e-13	2.267459797989245e-10	70.07016894895423	74.71398303123237	73.44209674506114	256.04455667667577	234.2513219882944	250.96787213110943
ENSMUSG00000024427.8	Spry4	-1.8549638726793705	7.07814227047962	1229.3748579216501	3.111979076089151e-13	2.534615428678258e-10	207.6737750667316	200.60504978637525	226.91945270644183	58.56402295402105	59.535546452997686	57.48309768314208
ENSMUSG00000026062.13	Slc9a2	-1.763302925415557	6.210966629088915	1205.8065915526258	3.4823320001508575e-13	2.566046494940027e-10	118.4371882234536	113.4672312854185	111.45311168805532	31.41872557245528	34.48477936892525	35.09384767974435
ENSMUSG00000025408.16	Ddit3	-2.156945125171887	6.266865841544459	1203.5030364033744	3.521225148336019e-13	2.566046494940027e-10	123.51065178371577	127.88571923881423	126.18739651512847	24.737732203599847	30.274118518623713	29.418433143999344
ENSMUSG00000022037.16	Clu	1.7419852904329112	7.8729063415227145	1146.2507563948893	4.67319706595504e-13	3.235254328760674e-10	106.82459385218685	101.61329652531451	114.95035439020108	363.96366577899823	353.109216876553	364.68443493906443
ENSMUSG00000026628.14	Atf3	-2.5280873898551794	5.542449033527126	1131.5995297449258	5.03556154888579e-13	3.320113581232031e-10	81.57001968554849	75.7967943795111	81.06723247269043	12.338771537075349	15.40355678148284	13.485618025302355
ENSMUSG00000042699.12	Dhx9	1.6762412297997944	7.128932453251898	1116.5568182350619	5.442319455561996e-13	3.4251979628050634e-10	65.67316719672701	67.30527380616738	66.84893427380273	225.52866804595772	201.20562923909245	212.07305875311386
ENSMUSG00000021185.17	Dglucy	1.7209404167685283	5.740365568251737	1087.6581256464228	6.336901678181312e-13	3.8148148102651494e-10	25.310945983974616	25.246601436183024	23.792716744106457	83.24156602817175	79.84265764242662	82.11127268687959
ENSMUSG00000097039.11	Pvt1	-1.6526299682117176	8.63556624741956	1071.5150466117805	6.911275163846191e-13	3.9872298299422645e-10	601.7127782470936	638.7447153425267	569.9932286021841	185.9242208684183	196.24877532671215	193.5889104944948
ENSMUSG00000027397.15	Slc20a1	-1.571516449056741	7.115271083577193	1011.8142267133775	9.63760152624364e-13	5.337689229294778e-10	200.85278516904577	208.92560014683286	212.70115450755412	65.60615109957136	71.20813792408676	72.47868838309219
ENSMUSG00000048388.4	Fam171b	-1.488038272007276	6.803626063911557	979.8493106967139	1.1608992865552065e-12	6.033452062139506e-10	169.56642654742905	164.07441429970862	160.47184136567222	54.89248605762302	59.908642984037066	61.17992733486589
ENSMUSG00000028680.15	Plk3	-1.6752256594438837	6.7727898669506486	977.5901448016227	1.176536224741923e-12	6.033452062139506e-10	170.41200380747276	159.62918876466964	169.64493697785784	48.632816594911624	56.28427668251169	51.391138961287346
ENSMUSG00000141748.1	Gm70176	1.790274848035668	6.197775816808602	964.221290905228	1.2742812445559682e-12	6.301320754329263e-10	33.03388495904037	35.675784422236056	29.755228892027112	114.29915682393214	111.66246178964204	114.70585524996558
ENSMUSG00000063382.7	Bcl9l	1.4451980376642306	6.226433601686872	928.8676577489736	1.5822107713699434e-12	7.154462695891971e-10	40.305849395416146	40.12100995727505	39.902965913007456	115.5029394129151	107.29190242603791	105.07327094617818
ENSMUSG00000059336.15	Slc14a1	-1.7418977205758763	7.472532933306308	926.6001790835679	1.604771825925041e-12	7.154462695891971e-10	269.85188958861136	261.014525006136	289.5831621071849	75.89849223537568	84.05331849272815	85.1832860594388
ENSMUSG00000056749.8	Nfil3	-1.561590047396689	6.199398612445314	923.4042232797855	1.6372137911858027e-12	7.154462695891971e-10	115.28036645262381	104.34881993149236	109.67582441319435	35.4513972455482	37.522851121674464	38.478269191885865
ENSMUSG00000097195.13	Snhg5	-1.8225803155798184	7.1867543191795615	921.8282050761102	1.6534941952083132e-12	7.154462695891971e-10	212.74723862699378	229.4420256931667	239.3604636304686	61.45310116758016	69.23605626002148	61.90887966055791
ENSMUSG00000022676.8	Snai2	-1.523808099521155	6.731751108384601	901.8287438697017	1.8774756428331683e-12	7.877432651717591e-10	164.60570662183937	153.1893107459593	155.36930693139396	50.739436125631805	56.497474700248475	57.11862152029607
ENSMUSG00000024308.16	Tapbp	1.2414135907259758	6.34269455485781	889.6757953394525	2.0309245303454033e-12	8.148649799804423e-10	49.099852899870584	46.16195747925112	49.13339337276924	114.05840030613555	112.08885782511561	115.27860350586646
ENSMUSG00000028211.12	Trp53inp1	1.6452857272136872	7.035157039360676	886.6881502191696	2.0708666169847476e-12	8.148649799804423e-10	62.85457632991469	66.39343267077477	61.058417668610545	210.4813856836707	185.37567642213605	199.62880119308582
ENSMUSG00000034765.7	Dusp5	-1.55606386371329	6.3900526177230015	883.1997624116403	2.1186724887545807e-12	8.148649799804423e-10	118.71904731013484	124.52330505205396	132.20724051062527	42.613903649996814	44.66498471585682	40.404786052643345
ENSMUSG00000097772.10	5430416N02Rik	-1.9510417617531497	6.122479404263982	873.9911587031548	2.2512077143892825e-12	8.261159330550786e-10	110.7706210657241	112.38441993713977	108.98784224228042	27.686999546608103	32.24620018268899	25.929875585330393
ENSMUSG00000022858.17	Tra2b	-1.421988972271214	7.6999954194389755	872.9194320316267	2.2672544746564343e-12	8.261159330550786e-10	302.040197287608	312.3625789429326	294.05504621812537	117.60955894363528	107.55839994820889	113.92483490100985
ENSMUSG00000020623.12	Map2k6	-1.981281385640762	4.774695651149974	864.4344804364722	2.399136532238101e-12	8.517549852658654e-10	45.435684773014565	42.742553221528816	42.769558291815464	11.195178077541536	10.926398409010318	11.038420931907718
ENSMUSG00000028179.13	Cth	-1.2851056182448586	6.739061230297417	856.1387748166244	2.5368408230115293e-12	8.654968480837166e-10	155.47347221336747	147.7182639336036	151.1840820583343	59.34648163685997	65.18529392302254	61.80474361403048
ENSMUSG00000143161.1	Urml	-2.3375903780865124	4.899565883879727	851.8876104639743	2.610984100495036e-12	8.654968480837166e-10	48.141532005154396	47.64369932426413	53.71994117886205	9.50988245296539	10.659900886839335	9.372244187468818
ENSMUSG00000046711.17	Hmga1	-1.2574525208080818	11.689652150639095	850.3695182002976	2.63807328750051e-12	8.654968480837166e-10	4643.68482489063	4682.988111092622	4647.376896371117	1922.3806054763395	2081.9319427041564	1840.7608264421394
ENSMUSG00000029304.15	Spp1	-1.112041351019301	10.814764868851643	847.6254568686924	2.6878784101978775e-12	8.654968480837166e-10	2448.622629634533	2414.954257016378	2525.2385583395494	1184.5822566886827	1123.020558428524	1110.8192083081096
ENSMUSG00000004371.16	Il11	-1.8127931546692118	7.018721692887253	837.9430259812855	2.8726301608826807e-12	9.039644819904909e-10	193.24258982865254	205.44920581814853	207.0826334450904	51.281138290674136	61.34772960376037	59.5658186136907
ENSMUSG00000018143.11	Mafk	-1.3137806740276816	6.344812152786845	829.2680449721529	3.0508931664963777e-12	9.387259285179742e-10	115.39311008729631	115.40489369812781	116.89963720779052	44.479766662920404	49.515239619368714	45.767792448806055
ENSMUSG00000052684.6	Jun	-1.4473134898212523	6.810002789107437	824.8341606139837	3.146991986681351e-12	9.472445879910867e-10	168.32624656603164	155.35493344251674	168.8422911117916	59.46685989575827	63.63960829443083	57.48309768314208
ENSMUSG00000028972.12	Car6	-1.923063281461577	6.180387995667702	815.79062105396	3.3542063531864504e-12	9.881349184302041e-10	119.84648365685976	109.42093624711377	115.12234993292955	28.10832345275214	34.00508382901748	28.585344771779894
ENSMUSG00000029718.15	Pcolce	1.4319365761440859	8.007927663155261	781.6110658079918	4.296030530492811e-12	1.2043546330035795e-9	140.5349406192622	131.7040539932708	145.04957436768515	370.5242808889554	362.6498281702742	392.69703145494344
ENSMUSG00000089824.11	Rbm12	2.2318271958962637	4.678726461757572	780.8578236959114	4.320040305633198e-12	1.2043546330035795e-9	9.075862591135664	8.092590076609456	9.574418545218743	42.012012355505334	43.59899462717288	40.09237791306105
ENSMUSG00000024776.19	Stambpl1	-1.0883751214833888	7.013277573293908	779.9524738980086	4.3491067203653744e-12	1.2043546330035795e-9	174.86537737703622	176.55523984039505	175.60744912577852	82.39891821588367	81.8147393064919	83.62124536152734
ENSMUSG00000022012.10	Enox1	-1.4753285093342134	5.988552194752724	767.8723315685057	4.759714354241222e-12	1.2922157833102738e-9	91.77331862340908	90.89916318445128	97.46414087947224	32.2011842552942	32.88579423589935	35.56245988911779
ENSMUSG00000027737.11	Slc7a11	-1.345594455973692	6.631655099852074	761.7314375084023	4.985766826989447e-12	1.3275562978172285e-9	145.49566054485186	142.5321674760581	138.8004029818837	55.6147556110128	60.06854149733965	52.27629535677051
ENSMUSG00000024912.7	Fosl1	-1.3616262444099052	8.249631439197334	757.0913340135785	5.164934088130028e-12	1.3493146676273278e-9	440.20752157874784	429.99008540857994	444.3218187152411	169.85372330549578	180.73861953636091	160.94225990814508
ENSMUSG00000032849.15	Abcc4	-1.3209200792448152	7.54477163406874	739.1519503470895	5.932371332155368e-12	1.5211039530559855e-9	273.1214549941136	254.5176569164636	272.38360783433683	102.80303309914487	111.28936525860266	106.06256338818878
ENSMUSG00000008136.15	Fhl2	-1.0363515930355138	6.454444355703363	736.6139476740509	6.051402810634222e-12	1.5234131512007534e-9	117.02789279004745	116.14576462063431	120.39687990993629	56.33702516440257	57.456865780064014	58.52445814841639
ENSMUSG00000121353.2	Gm61426	-2.6319702663018134	3.862550418437884	733.2289789644982	6.214535795426279e-12	1.5365439754191475e-9	26.156523244018313	25.30359150714506	23.563389353801817	3.912293414194623	3.944163328130554	4.217509884360968
