Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_KPC_1	CPM_KPC_2	CPM_KPC_3
ENSMUSG00000036902.12	Neto2	-4.065401485575682	3.39577917672395	243.97590129788972	7.591471736868993e-8	8.586238638316523e-4	16.63974212359905	14.189529531100645	23.4158901448192	15.99278162792593	0.8663102797943821	1.016151754689413	1.2473456285425941
ENSMUSG00000020427.12	Igfbp3	2.52201602358275	5.234517914939705	226.5897594250695	1.0483167863154293e-7	8.586238638316523e-4	13.100147856079078	11.509666810941201	14.140580075303939	10.779134817222078	71.44172107371004	59.650854356362295	82.34975839638206
ENSMUSG00000024222.19	Fkbp5	3.112066641010587	7.112850611211732	195.2507768743572	2.00263857822941e-7	0.001093507418332532	30.506193893264925	30.64663521002851	30.27279114712956	37.934878021440305	305.34549661819324	189.114080615981	344.4919156908936
ENSMUSG00000076617.10	Ighm	-6.632155587849488	6.746120879340633	154.975020285221	5.4258990217743e-7	0.0021716150296665552	166.324439910887	265.6156242250341	136.36981951897744	177.23200600067517	1.4149734569974908	3.3505544343813076	0.8731419399798158
ENSMUSG00000075232.7	Amd1	-3.627710038512463	10.462337421207968	145.29742507141165	7.152318315131819e-7	0.0021716150296665552	2614.628953158156	1933.5553098093997	2232.589895229426	2529.898125721603	161.74012923761114	271.0653464536353	132.11884897523157
ENSMUSG00000129657.1	Gm66748	4.759931469512788	2.0095740831862954	141.7298706806056	7.954148207068758e-7	0.0021716150296665552	0.47437861317277996	0.3435721436101851	0.3129705851676928	0.1599278162792593	12.445991019712624	8.019359793765096	5.862524454150192
ENSMUSG00000039661.15	Dusp26	2.0986250476006134	6.080840851343563	125.43700029717765	1.3376742720611136e-6	0.0028009646080330687	32.00231105788677	31.16199342544379	26.488692253738364	22.70974991165482	134.82675654533233	94.4471860642403	131.64485763638538
ENSMUSG00000031962.7	Cdh15	1.9086822471509202	4.356163225823776	124.77763382097983	1.3679089716296044e-6	0.0028009646080330687	8.757759012420554	8.280088661005461	9.787443754335122	10.587221437686967	30.869522970006482	31.775340004747317	42.759008146440124
ENSMUSG00000031099.17	Smarca1	-3.610236510587822	3.2077090292624386	119.76270807959773	1.6274198921651024e-6	0.0028516331566884445	15.946419535115757	15.2202459619312	14.823424988397088	14.681373534436005	0.8663102797943821	2.004839948441274	0.848195027408964
ENSMUSG00000056749.8	Nfil3	2.543104482906705	5.219107025831449	117.86943005913294	1.740817506067056e-6	0.0028516331566884445	15.54502224704648	9.757448878529257	11.21003732327918	11.930615094432744	90.35616218255406	50.06607158915675	71.32322304006553
