Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_KPC_1	CPM_KPC_2	CPM_KPC_3	CPM_KPC_4
ENSMUSG00000042292.19	Mrtfa	-3.805487772553188	4.461122488128506	740.0433523787252	1.5290833503991873e-9	9.159512195623635e-6	42.86496799098388	47.896827291778756	50.13727781681189	2.9403344192780443	3.7758896198793024	3.361451138209547	3.3512725162767207
ENSMUSG00000028584.4	Lrrc38	-6.728871160065024	4.388003402810684	731.5895127659306	1.6045207711570959e-9	9.159512195623635e-6	52.354277933915455	47.25028128309732	45.26282025128851	0.42574978016695664	0.6726281104238434	0.35309360695478437	0.3631920953600387
ENSMUSG00000110547.2	Gm29773	-4.398101585232947	3.5068466659060133	696.225191317147	1.974729743302937e-9	9.159512195623635e-6	25.687919223582366	21.842770563562002	27.482655988474665	1.0643744504173915	1.3758302258669524	1.1722707750898842	1.1225937492946652
ENSMUSG00000020241.14	Col6a2	-4.875896057149764	5.366849143604997	691.1365332504299	2.0363522000052544e-9	9.159512195623635e-6	91.69375761549594	90.34169905089244	94.42520655499573	2.700850167934131	4.142777680110489	2.7682538785255093	2.9385542260948587
ENSMUSG00000031889.10	Phaf1	3.7150846798589394	7.547493264031946	569.1541321114488	4.5888302076525905e-9	1.5073871404638495e-5	21.82075363309143	23.170811013826572	25.764989989194998	273.61075716042075	293.5257351874595	317.68538004935857	353.468452443354
ENSMUSG00000074818.14	Pdzd7	-4.9799771721177155	2.7877027491107174	556.8697349754732	5.026857960639783e-9	1.5073871404638495e-5	17.503195262985084	13.944424727777982	15.041183345043567	0.5721012670993479	0.4891840803082497	0.3672173512329758	0.5282794114327836
ENSMUSG00000039911.14	Spsb1	3.4065374287815913	6.124708460471685	521.7678085904731	6.597399779422434e-9	1.671887577746733e-5	9.986295079058925	10.624323602116558	11.652274751870172	111.70609857130525	99.01391525489167	124.93864188488091	120.03498751649279
ENSMUSG00000027204.14	Fbn1	-3.0895385474330475	4.415542621713435	507.05308023988613	7.433915419060618e-9	1.671887577746733e-5	45.567324668676335	42.637088140073025	40.991866955782314	5.135606723263915	5.533894908487075	4.251247027735604	5.315811577542385
ENSMUSG00000057137.10	Tmem140	3.1102151645931984	7.730784997891199	465.81409150165786	1.0588212730465628e-8	1.98595210609449e-5	40.690658020426724	38.72286365508272	39.36704776727452	384.06621575248556	354.88776326112554	334.81748185880474	293.9049488043077
ENSMUSG00000067719.6	Gm10221	-15.126665796906542	5.013124586697061	2877.560720847277	1.1722564159723918e-8	1.98595210609449e-5	78.52365150812119	69.72212363888991	77.99132104837405	0	0	0	0
ENSMUSG00000037206.16	Islr	-3.3006742759735475	3.344560022676311	433.67106421426837	1.4260340665834712e-8	1.98595210609449e-5	21.696507349059594	21.073905039724618	19.915640910566946	2.2884050683973918	2.430633399031616	1.9067054775558356	1.8489779400147426
ENSMUSG00000040350.17	Trim7	-3.6771185736868532	4.265517361144858	432.066624251786	1.4482010004108598e-8	1.98595210609449e-5	44.837377749989294	39.43930652956755	37.69580517338079	2.394842513439131	3.5312975797251775	3.1778424625930595	3.6154122219931124
ENSMUSG00000029718.15	Pcolce	-3.658574548660047	4.421104320472535	427.6640980894372	1.5112517974790794e-8	1.98595210609449e-5	42.352452069352545	40.92461492788976	52.55129489688061	3.805138660242175	4.326221710226084	3.121347485480294	3.0706240789530543
ENSMUSG00000139751.1	Gm34317	8.08298021211256	4.460828822667813	425.37895898129153	1.5453162230615197e-8	1.98595210609449e-5	0.09318471302387799	0.12231951515594722	0.27854043231562164	31.838100748110225	36.18433494030085	52.653318669097445	32.43965760829437
