Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Mel_1	CPM_Mel_2	CPM_Mel_3	CPM_Mel_4	CPM_Mel_5	CPM_Mel_6	CPM_Mel_7
ENSMUSG00000004040.17	Stat3	1.5481166153830552	7.035011626601466	183.69592803224032	4.340511766222155e-9	2.867120357214906e-5	59.779348518353665	61.62363036487845	59.229897596613974	68.8514430185266	59.34978355946928	200.29754675707375	209.5440901393033	217.11260912357142	164.31142249015707	147.59704682966887	162.0420473587368	163.51260300320905
ENSMUSG00000135833.1	BE949265	-3.1288175481223917	1.104716725692346	182.30716400314364	4.547690533463628e-9	2.867120357214906e-5	5.696967256877641	5.982377467967337	3.2112595082501554	2.795173826053332	4.335239245816953	0.3427618255021486	0.40466994018748226	0.41087612011117014	0.5446227678314002	0.630898512882724	0.5746754136747176	0.6097624057038218
ENSMUSG00000064057.13	Scgb3a1	4.865930545112165	0.019003249611504715	180.4928814851069	4.83575705382848e-9	2.867120357214906e-5	0.031046143089251448	0.05142444814871637	0.08395449694771648	0.07213351809169889	0.035828423519148375	1.4177875509407056	1.3938631273124389	1.8276903273910672	1.7605247611294097	0.7139114751041351	2.233024464564617	2.0218437662810933
ENSMUSG00000123052.1	Gm71729	3.3883129718272604	-1.3329397320159133	126.26037670211274	4.219635570286808e-8	1.603433111637418e-4	0.062092286178502896	0.03428296543247758	0.04197724847385824	0.036066759045849446	0.08957105879787094	0.8101643148232603	0.704425451437469	0.45338054632956704	0.6332822881760467	0.4482699959956197	0.45974033093977407	0.5134841311190078
ENSMUSG00000144218.1	Gm70700	-1.1937338884237088	2.4455475259988018	122.6309263114519	5.022204302463253e-8	1.603433111637418e-4	7.482120484509599	8.896429529727932	8.857199427984089	7.592052779151309	7.541883150780733	3.1627568444061893	2.937604010249871	4.009584206602108	3.66037162565755	3.220902934190749	3.562987564783249	4.139965807147001
ENSMUSG00000022548.15	Apod	2.8206913038209125	7.283977077146394	118.64877040574545	6.112838037062662e-8	1.603433111637418e-4	31.310035305510084	32.07171416208278	27.49509775037715	35.63395793729925	45.14381363412695	296.11505706790166	207.1160704981784	318.8823736324864	284.6223915978424	120.73405225482024	309.7828865657399	160.70448666115198
ENSMUSG00000027546.16	Atp9a	2.5502228926158454	7.006871658212632	118.01589317119964	6.31024443777024e-8	1.603433111637418e-4	37.23984863555711	34.54008767322116	30.412516519310294	34.11915405737358	31.3677847910144	224.97639819322845	154.16425943586825	262.3939911882369	275.5411235853979	157.4589867415725	203.8948367717898	96.67943406225069
ENSMUSG00000029810.16	Tmem176b	2.6050767781864805	5.7004316037457965	114.1640366194737	7.68303395007062e-8	1.7082265608738264e-4	13.72239524544914	11.91333048778596	10.851118730492354	13.543068021716467	15.459964748512524	96.20701238526216	69.06366979199697	104.73090620212999	98.93135905886201	54.19086173813714	95.70808532314082	39.13711861872687
ENSMUSG00000050105.6	Fam110d	2.39813731820736	2.9171588681131992	109.72078671301618	9.715065351778889e-8	1.9200207490232345e-4	2.1111377300690983	2.12554385681361	1.8889761813236208	2.488606374163612	2.1317911993893284	15.377541898664576	13.518973557374407	13.856442947197392	11.728387977020384	7.1889225283741975	11.608443356229294	6.097624057038217
ENSMUSG00000023367.15	Tmem176a	3.000658390507302	4.699720394213747	101.22347914825572	1.5600620381108796e-7	2.7748823471878217e-4	5.060521323547986	3.9082580593024443	4.78540632601984	4.54441163977703	7.201513127348823	54.12520826338474	35.11635814293596	54.023125723582474	50.85256774053655	25.136324960643268	48.716055782082485	17.82752717728805
ENSMUSG00000022146.13	Osmr	2.3401452807138163	4.600329867672755	98.3999769123251	1.840441579345078e-7	2.815679313961007e-4	8.863673851981288	5.776679675372472	6.800314252765035	6.7985840801426205	7.667282633097752	45.77428378751421	37.63430443743585	45.46556791161189	46.72356722162873	21.08529240423841	37.4195790789909	20.53936524476031
ENSMUSG00000048572.6	Tmem252	4.6205802054225735	3.0967557878510608	97.8676004604448	1.8995981203987227e-7	2.815679313961007e-4	1.071091936579175	0.46282003333844735	0.3148293635539368	0.3426342109355697	0.6449116233446708	18.960960983459767	19.10941384218666	8.727575516844166	15.122781041643995	4.698533661731866	22.954177951921576	9.708059353968741
ENSMUSG00000021091.9	Serpina3n	5.572678116897689	7.0455199702229	95.33789730713572	2.2124415616708866e-7	2.8556179834958147e-4	5.88324411541315	4.371078092640891	3.505100247567163	3.264041693649375	6.377459386408411	262.86715999419323	325.29468080848574	223.53077748254935	321.65673981037764	23.80811756510069	247.34029804559844	156.74103102407713
ENSMUSG00000035778.18	Ggta1	0.9545775121785665	3.7400216628167366	95.07938778369322	2.2476332022792718e-7	2.8556179834958147e-4	9.065473782061423	7.7993746358886495	8.416438319008577	8.764222448141416	9.010848515065817	19.303722808961915	17.880416246061717	15.953327973971641	18.124539087598457	13.016432476317254	16.731264186701065	15.821729790104428
ENSMUSG00000060591.10	Ifitm2	1.3436396722396093	5.847336199471546	93.5417266732361	2.4707968251659107e-7	2.908176651340761e-4	32.03961966810749	26.9121278644949	31.377993234209033	30.20591070089891	31.09907161462079	89.21155512842286	79.6750148902465	79.6249584491302	91.8385974312903	62.043887964282625	84.72357527318694	51.65329431475269
