Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_CS_1	CPM_CS_2	CPM_CS_3	CPM_Sham_1	CPM_Sham_2	CPM_Sham_3
ENSMUSG00000022094.16	Slc39a14	5.531603708404219	7.8852311583825845	1962.582896520477	1.1568977662808924e-10	2.02526522965133e-6	433.0087037535425	498.8003960001786	456.6202304022103	9.98875047846924	10.025003733886296	9.997873051697656
ENSMUSG00000064120.15	Mocs1	3.273663002987146	5.8606343819693025	1085.4872634269857	1.1554929156069479e-9	7.857500369474615e-6	102.05003996186174	107.15772866538181	106.66957660120767	10.390308286648908	11.258025583508674	11.01168110656236
ENSMUSG00000028967.11	Errfi1	4.242511564968207	7.104197638770958	1005.7883241067852	1.5531987462835249e-9	7.857500369474615e-6	280.88525013823806	258.009355455966	245.10680427280593	12.147123697434955	14.66759904594273	14.603150066880936
ENSMUSG00000036523.17	Greb1	5.914954557516341	2.8338958528351754	940.1914759230496	2.0173573618176686e-9	7.857500369474615e-6	14.279659861606348	15.524040889612891	12.179366409634357	0.27105152052127585	0.21443858254302234	0.20491864938754636
ENSMUSG00000034936.3	Arl4d	5.825513783635776	6.177366537080338	914.6893719186774	2.2442306550538717e-9	7.857500369474615e-6	170.0314604097897	127.9278951416226	128.66075366773313	2.7406320408262337	2.0907761797944677	2.6855128261841603
ENSMUSG00000023067.15	Cdkn1a	4.699948294671567	6.9169154355945786	838.4727009185223	3.1436899766085184e-9	8.195666215343553e-6	274.34086978077545	222.02134219049915	201.70161547251325	8.45279186218201	8.588265230848044	9.814524786456168
ENSMUSG00000017009.4	Sdc4	3.446682669829408	5.9969135469373755	829.5186877006076	3.2771428942879512e-9	8.195666215343553e-6	123.0410286594374	117.88472864893419	109.9676642169694	9.577153725085081	11.118640504855708	11.486229557775625
ENSMUSG00000028862.7	Map3k6	4.06442935817282	5.3828449054301615	771.8811260526666	4.330741657667266e-9	9.476745432390394e-6	92.16669003426513	68.56706554662682	75.40841755752335	4.507486396816772	4.610429524674981	4.993543929812314
ENSMUSG00000038332.14	Sesn1	4.756635783717403	7.569696562214787	707.3871576065544	6.069314459956742e-9	1.0920368058724078e-5	390.815258285616	417.699785277717	290.59685560163365	14.71709366978483	13.263026330285932	12.672600685808789
ENSMUSG00000043091.10	Tuba1c	4.449830537861105	4.726796349370284	702.3872523700235	6.238071551881685e-9	1.0920368058724078e-5	46.422806923429526	61.320471837471565	44.076585207787005	2.138295328556732	2.3266586205917927	2.4805941767966138
ENSMUSG00000027947.12	Il6ra	5.0502719259640205	6.26910477914433	643.0874638585259	8.77179137446207e-9	1.3959907254666636e-5	160.02568159795484	154.02583896459444	135.03313009675847	3.4032024243226857	4.814146178090851	5.338670076149234
ENSMUSG00000014353.16	Tmem87b	2.9474212611076105	6.057160188837914	580.3047299469101	1.304137178791035e-8	1.902518787659655e-5	113.34688700748173	107.13731572535603	133.10139306466945	14.456081094468045	15.493187588733365	15.886587923571357
ENSMUSG00000022357.3	Klhl38	2.942179792990696	6.492957803139315	561.5805942009221	1.4800276903243929e-8	1.9930280574476014e-5	165.73531956288397	170.1928874650197	142.1711340080142	19.154307450170162	22.51605116701735	20.53500570704675
ENSMUSG00000024042.8	Sik1	3.802448846629772	5.466714333501888	536.4058428328399	1.7663177538038922e-8	2.2086541855779238e-5	92.9791726296644	80.12078960122366	74.39543350411083	5.280485177562634	5.37168649270271	7.0858711919798925
ENSMUSG00000036850.5	Mrpl41	2.8693107265314826	5.835630229351504	482.9770645060276	2.6459708563242893e-8	2.7631527575921128e-5	99.30095501578475	94.80789994977918	107.21140528093996	15.861533423096883	12.844871094327038	12.521607996786384
ENSMUSG00000055116.9	Bmal1	3.457459555709432	4.5605855458618665	482.5035162769848	2.6559801952923762e-8	2.7631527575921128e-5	49.82855588496619	42.05065645312631	37.798439853497726	3.3530076983002273	4.213718146970389	4.238580484700301
ENSMUSG00000039911.14	Spsb1	4.400513402333029	5.64530593511742	481.2229989308725	2.6832855523286826e-8	2.7631527575921128e-5	97.82067850635869	117.62956689861181	71.16801919440114	4.4070969447718555	4.642595312056434	4.518995478599049
ENSMUSG00000020423.7	Btg2	4.092436018037748	7.0831778381184005	471.07163013489156	2.9127248733381888e-8	2.8081640368835765e-5	294.4748562886834	213.8153403001318	260.1484395775478	12.488447834387673	14.903481486740054	17.655359423548074
ENSMUSG00000030161.9	Gabarapl1	3.846688563142648	7.912428603221693	465.55305774238093	3.04781884501245e-8	2.8081640368835765e-5	498.6194558066753	478.5507594945954	374.32116550461336	26.081179641269433	35.049986316657005	32.80855428615347
ENSMUSG00000031889.10	Phaf1	4.347671584802535	7.336586432100029	450.5153601845234	3.458056488147007e-8	2.8282103116468273e-5	389.9026066031127	297.9983049664876	236.4022087440634	14.134834847924312	15.493187588733365	15.76795081076804
ENSMUSG00000061603.9	Akap6	-2.3939782110140744	4.397677681132536	448.12491481788965	3.5295215718854256e-8	2.8282103116468273e-5	6.60002985029818	6.593379628329998	6.996657299151652	34.062141078840334	32.71260576693806	39.355165874481926
ENSMUSG00000019951.11	Bltp3b	2.368556776016537	5.2048360496760555	447.3120274850661	3.554245793226905e-8	2.8282103116468273e-5	67.88125136082394	61.6368724078713	55.78479624374111	12.498486779592165	11.451020307797394	11.928422432769803
ENSMUSG00000048572.6	Tmem252	4.660386067148825	2.8979437513762925	439.41215536131944	3.8062326845091506e-8	2.897039538044226e-5	14.969713572767372	13.45212747699526	14.511585509351573	0.7228040547234023	0.5682622437390092	0.399052106702064
ENSMUSG00000034158.10	Lrrc58	3.621383109926737	7.778521693308148	419.9894002751465	4.528271836696892e-8	3.172573949810555e-5	488.20187074785724	405.20706598193385	324.89696680555556	30.096757723066112	34.55677757680805	34.340051560523555
ENSMUSG00000071036.4	Gm10309	8.167365128456831	5.363129345734668	416.5885913317534	4.671898049038953e-8	3.172573949810555e-5	84.23107235591337	95.25698463034655	66.50358099496671	0.24093468490780076	0.4824868107218003	0.12942230487634507
ENSMUSG00000025484.10	Bet1l	2.468194415564991	3.9577396918862844	411.5458413460265	4.895570203340399e-8	3.172573949810555e-5	28.50367023037713	27.15941670431289	23.20440215375211	4.637992684475164	4.98569704412527	4.626847399329336
ENSMUSG00000021226.8	Acot2	3.5979738827343266	6.764420426533808	408.49378036622824	5.037497263814184e-8	3.172573949810555e-5	158.63444427706568	227.21643542706258	216.59012528080905	15.951883929937308	14.989256919757262	18.80937497536215
ENSMUSG00000042622.15	Maff	5.141514670386525	4.477752099025375	407.7183156831259	5.0743785327713674e-8	3.172573949810555e-5	57.842082853287756	41.43826825235262	30.62509928921598	1.2247513149479872	1.2330218496223786	1.2187267042522494
ENSMUSG00000055489.9	Ano5	-2.0483034772761646	6.962689736231333	403.37298895036963	5.287438655277947e-8	3.1917896930791635e-5	49.839685783533305	44.89826158672393	50.94367477917659	204.32265174701953	199.66376420580812	198.57695644860544
ENSMUSG00000105941.2	Gm42809	8.602602107799235	2.1275747475557982	384.22424371662214	6.372099257486724e-8	3.662465082837984e-5	5.943365834838496	7.654852509671051	12.47383851818451	0.020077890408983397	0.021443858254302235	0.02157038414605751
ENSMUSG00000036545.10	Adamts2	3.345890541356746	5.647125637633643	381.1085073013455	6.574193471587704e-8	3.662465082837984e-5	83.14034229633626	94.82831288980498	95.69165639445794	6.9168332458947805	10.0678914503949	9.933161899259485
ENSMUSG00000051316.9	Taf7	2.7523219397278837	5.039869497691039	377.4212409845171	6.823876074856245e-8	3.662465082837984e-5	61.348000901928444	62.769790579302615	47.657366047756874	8.111467725229293	8.084334561871943	9.2968355669507865
ENSMUSG00000112983.3	Gm32939	6.70412740341577	2.488438702180483	376.27381437742787	6.903995643416741e-8	3.662465082837984e-5	7.078615488684051	12.257970485486576	13.922641292251265	0.11042839724940869	0.1179412203986623	0.08628153658423005
ENSMUSG00000074794.11	Arrdc3	4.459312402176899	8.466851050840093	370.1734689144337	7.350375531816596e-8	3.78457864882298e-5	753.8502897477172	630.2597297662627	646.3780571519293	25.95067335361104	25.239421165313733	41.11315218238562
ENSMUSG00000000628.11	Hk2	-2.1785932198868148	7.902113276147966	344.8364432358289	9.643557573692151e-8	4.2961183996794225e-5	82.47254838230947	86.13240043881866	91.03899707936552	430.77113872473876	358.4769784371705	386.1961577510137
ENSMUSG00000034858.18	Atosa	2.746764959988343	6.507273864683607	342.6449862536455	9.881734294518649e-8	4.2961183996794225e-5	179.491874191836	128.3157410021126	167.14236881306724	23.973001148326176	24.46744226815885	22.314562399096495
ENSMUSG00000020108.5	Ddit4	5.291994956331789	8.024072536878569	341.91513875683796	9.962694179059383e-8	4.2961183996794225e-5	612.355889264006	462.7001115645699	447.83318268307374	17.96971191604014	9.821287080470423	11.065607066927504
ENSMUSG00000040997.15	Abhd4	2.0122967872784288	5.858677201243123	341.20840883690727	1.0041885259942269e-7	4.2961183996794225e-5	100.66993253953969	94.42005408928918	83.83031986205775	23.64171595657795	23.50246864671525	21.991006636905635
ENSMUSG00000024222.19	Fkbp5	4.1685883463299636	7.881068379596699	339.3471777990314	1.0254257267790281e-7	4.2961183996794225e-5	522.6377769145058	362.4827825079565	454.73560890748934	20.539681888390014	22.36594415923723	31.600612773974255
ENSMUSG00000028834.14	Trim63	5.43376484502653	11.432190983456977	339.16037624089057	1.0275882116656948e-7	4.2961183996794225e-5	6982.698022832668	4916.160617581019	4306.100979981923	96.33371818230233	118.29504405985828	160.27873939728033
ENSMUSG00000111202.2	Gm48275	2.7402859851273322	3.521862196402865	338.15770388609354	1.039293924949893e-7	4.2961183996794225e-5	16.44999008219344	20.923263526434205	22.485890208889735	2.9112941093025926	2.9485305099665573	3.095350124959253
ENSMUSG00000022270.17	Retreg1	3.9171558652744807	9.97365880488539	336.8299694063273	1.055053565416309e-7	4.2961183996794225e-5	2209.8413605003434	2061.5436390845302	1386.8105057747778	139.21005315068638	120.58953689306863	114.7328732728799
ENSMUSG00000044786.7	Zfp36	2.690559491674248	4.727099036171764	336.81308834272374	1.0552558619114314e-7	4.2961183996794225e-5	53.45690281784512	41.75466882275236	42.297973672144074	7.709909917049624	6.207996964620497	7.377071377951669
ENSMUSG00000030177.15	Ccdc77	2.536231522255405	4.176719573409464	329.4630128959301	1.1481673642833429e-7	4.530644634879709e-5	35.76036409613499	28.97616836660815	27.72749374108247	4.798615807747032	5.575403146118581	5.565159109682838
ENSMUSG00000127251.1	Gm68734	1.9219687181832061	5.705531921039288	328.23903970191475	1.1646236065896659e-7	4.530644634879709e-5	90.09652890078206	78.40610263905735	79.1423238939393	22.125835230699703	22.70904589130607	20.513435322900694
ENSMUSG00000007659.19	Bcl2l1	3.2038707779939997	5.373940665639003	323.83288253687834	1.2263731378605318e-7	4.559600908241426e-5	77.54200331707828	84.55039758681998	62.263182631844494	9.014972793633545	8.802703813391068	6.525041204182397
ENSMUSG00000139891.1	Gm69940	2.966106046182461	8.153168770562642	323.2849711241253	1.2343365030408554e-7	4.559600908241426e-5	425.8410490763215	487.6855501561362	600.6524281362615	62.141070815803616	59.45309701005295	72.17450535270844
ENSMUSG00000141158.1	Gm74286	3.302556787288616	4.349354159428906	322.2062950431826	1.250204750346101e-7	4.559600908241426e-5	35.548896023359845	42.0608629231392	33.3460215722194	4.6881874104976236	3.377407675052602	3.170846469470454
ENSMUSG00000037447.17	Arid5a	3.6838765599000927	5.047264702565678	315.8967470322792	1.3483401517758996e-7	4.5939452897681646e-5	78.92211073940032	51.59370591518288	53.464356028365906	4.166162259864055	5.489627713101372	4.659202975548422
